1465,1,Apr 9,HOU,,LAD,W,2-1,CG,4,4,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,.750,.750,1.250,2.000,2,.87,-0.014,0.02,1B
1466,2,Apr 10,HOU,,LAD,L,4-5,CG,5,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.667,.667,1.000,1.667,2,1.05,0.181,2.24,1B
1467,3,Apr 11,HOU,,LAD,L,3-4,7-GF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,.545,.545,.818,1.364,9,2.48,-0.191,-0.55,1B
1468,4,Apr 12,HOU,,PHI,W,8-3,CG,5,5,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.625,.625,.813,1.438,2,1.18,0.046,1.13,1B
1469,5,Apr 13,HOU,,PHI,L,2-4,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.476,.476,.619,1.095,2,1.97,-0.232,-1.39,1B
1470,6,Apr 14,HOU,,PHI,W,5-3,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.385,.385,.500,.885,2,.98,-0.157,-1.93,1B
1471,7,Apr 15,HOU,@,LAD,L,3-5,6-GF,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.357,.357,.464,.821,6,1.52,-0.074,-0.41,PH 1B
1472,8,Apr 16,HOU,@,LAD,W,7-3,9-GF,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.379,.379,.483,.862,6,6.14,0.424,1.28,PH 1B
1473,9,Apr 17,HOU,@,LAD,L,0-1,CG(11),4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.364,.364,.455,.818,6,1.36,-0.090,-0.68,1B
1474,11 (1),Apr 20,HOU,@,ATL,W,8-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.324,.324,.405,.730,6,.65,-0.064,-1.01,1B
1475,12,Apr 21,HOU,@,ATL,W,4-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.293,.293,.366,.659,6,.54,-0.056,-1.04,1B
1476,14 (1),Apr 23,HOU,,CIN,W,6-4,8-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.293,.293,.366,.659,9,,,,PH
1477,16 (1),Apr 25,HOU,,ATL,L,2-3,9-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.286,.357,.643,3,1.68,-0.040,-0.14,PH 1B
1478,17,Apr 26,HOU,,ATL,W,3-2,7-GF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.273,.273,.341,.614,3,1.80,-0.177,-0.93,PH 1B
1479,19 (1),Apr 28,HOU,,ATL,W,2-1,9-GF,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.289,.289,.378,.667,9,2.18,0.442,1.09,PH
1480,22 (2),May 3,HOU,@,PHI,L,2-3,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.292,.306,.375,.681,6,1.09,-0.014,-0.25,1B
1481,23,May 4,HOU,@,PHI,L,5-7,12-12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.300,.367,.667,2,1.73,-0.042,-0.15,PH
1482,24,May 5,HOU,@,PHI,W,4-3,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.283,.296,.358,.655,2,.59,-0.016,-0.27,1B
