2 (1),Apr 7,OAK,@,LAA,W,6-4,GS,25,5.0,0,1,0,1,0,P
6 (3),Apr 12,OAK,,SEA,L,0-1,GS,25,7.0,0,0,0,0,0,P
11 (4),Apr 18,OAK,@,TOR,L,2-4,GS,27,5.1,0,3,0,3,0,P
15 (3),Apr 24,OAK,,TBR,L,2-8,GS,17,2.2,0,0,0,0,0,P
21 (5),May 2,OAK,@,SEA,W,3-2,GS,24,6.0,1,1,0,2,0,P
26 (4),May 7,OAK,,TEX,W,9-4,GS,26,7.0,0,1,0,1,0,P
30 (3),May 12,OAK,,KCR,W,12-3,GS,26,6.0,0,3,0,3,1,P
34 (3),May 17,OAK,@,DET,L,7-11,GS,16,2.1,0,1,0,1,0,P
39 (4),May 22,OAK,,ARI,L,1-2,GS,28,7.1,0,1,0,1,0,P
44 (4),May 27,OAK,,SEA,L,1-6,GS,25,6.0,0,1,0,1,0,P
49 (4),Jun 1,OAK,@,CHW,L,2-6,GS,23,5.2,0,3,0,3,0,P
54 (4),Jun 6,OAK,,BAL,W,9-4,GS,23,6.0,0,0,0,0,0,P
59 (4),Jun 11,OAK,,MIN,W,4-3,GS,28,7.0,0,0,0,0,0,P
64 (4),Jun 17,OAK,@,LAD,W,5-4,GS,26,5.1,0,1,0,1,0,P
69 (4),Jun 22,OAK,,SFG,W,5-1,GS,25,7.0,0,0,0,0,0,P
73 (3),Jun 27,OAK,,COL,L,9-11,GS,19,3.2,0,1,0,1,0,P
78 (4),Jul 3,OAK,@,CLE,L,3-15,GS,22,3.2,0,0,0,0,0,P
83 (4),Jul 8,OAK,@,BOS,L,4-5,GS,23,5.1,0,1,0,1,0,P
88 (4),Jul 17,OAK,,LAA,W,7-3,GS,22,4.2,0,0,0,0,0,P
93 (4),Jul 22,OAK,,MIN,W,16-1,GS,28,7.0,2,0,0,2,0,P
98 (4),Jul 27,OAK,@,BOS,L,3-8,GS,25,5.0,0,0,0,0,0,P
103 (4),Aug 1,OAK,,TOR,L,5-6,GS,27,5.1,0,0,0,0,0,P
108 (4),Aug 6,OAK,,TEX,L,4-6,GS,28,6.0,1,0,0,1,0,P
113 (4),Aug 11,OAK,@,BAL,L,2-3,GS,27,7.0,0,2,0,2,0,P
117 (3),Aug 16,OAK,,CHW,W,3-2,GS,25,6.0,0,0,0,0,0,P
122 (4),Aug 22,OAK,,DET,W,3-2,GS,29,7.0,0,1,0,1,0,P
127 (4),Aug 27,OAK,@,LAA,W,2-0,GS,24,7.0,1,2,0,3,0,P
133 (5),Sep 2,OAK,,KCR,W,10-4,GS,22,5.0,0,0,0,0,0,P
139 (5),Sep 9,OAK,@,CHW,L,3-4,GS,17,3.0,0,0,1,1,0,P
145 (5),Sep 16,OAK,@,TEX,W,4-0,GS,24,7.0,1,4,0,5,0,P
151 (5),Sep 22,OAK,,TEX,W,9-1,GS,22,5.2,0,1,0,1,0,P
157 (5),Sep 29,OAK,@,SEA,L,4-6,GS,25,4.2,0,1,0,1,0,P
