6 (5),Apr 24,CHW,@,CLE,L,2-5,CG,38,8.0,0,3,0,3,1,P
11 (4),May 1,CHW,,NYY,L,3-8,GS,25,5.0,0,1,0,1,0,P
15 (3),May 5,CHW,,WSH,W,7-0,GS,28,6.1,0,0,0,0,0,P
22 (6),May 13 (2),CHW,,CLE,T,4-4,GS,28,7.0,0,1,0,1,0,P
25,May 18,DET,@,PHA,W,9-6,,13,3.2,0,1,0,1,0,P
29 (3),May 24,DET,@,NYY,L,1-11,GS,23,5.1,3,2,1,6,1,P
31 (1),May 26,DET,,SLB,L,2-3,GF,0,0.2,0,0,0,0,0,
35 (3),May 29,DET,,CLE,L,1-2,GS,31,7.1,1,0,0,1,0,P
38 (2),Jun 2,DET,,NYY,L,7-8,GS,39,8.0,0,4,0,4,0,P
43 (4),Jun 6,DET,,BOS,W,6-4,GS,34,8.0,0,1,0,1,0,P
47 (3),Jun 10 (2),DET,,PHA,W,9-5,GS,27,5.0,0,1,0,1,0,P
51 (3),Jun 16,DET,@,NYY,W,4-0,CG,33,9.0,1,1,0,2,0,P
56 (4),Jun 21,DET,@,PHA,W,9-3,CG,35,9.0,0,0,0,0,0,P
60 (3),Jun 26,DET,@,CHW,L,3-11,GS,23,4.1,0,3,0,3,0,P
64 (3),Jul 1 (1),DET,@,CLE,L,1-2,CG,33,8.0,1,1,0,2,0,P
70 (5),Jul 7,DET,,CLE,W,13-3,CG,32,9.0,0,3,0,3,0,P
73 (2),Jul 12,DET,,WSH,W,5-4,GS,27,6.0,0,1,0,1,0,P
78 (4),Jul 16,DET,,NYY,L,6-8,GS,13,1.2,0,1,0,1,0,P
80 (1),Jul 18,DET,,PHA,L,9-16,,7,0.2,0,0,0,0,0,P
85 (4),Jul 22,DET,,BOS,L,9-10,GS,18,3.1,0,1,0,1,0,P
88 (2),Jul 26,DET,@,WSH,W,6-3,GS,20,4.0,0,1,0,1,0,P
95 (6),Aug 1 (2),DET,@,NYY,L,6-10,GS,5,0.1,0,0,0,0,0,P
96,Aug 2,DET,@,NYY,W,6-0,GF,9,3.0,0,0,0,0,0,P
100 (3),Aug 5 (2),DET,@,BOS,W,8-5,,4,0.1,0,0,0,0,0,P
102 (1),Aug 7,DET,,CHW,L,1-2,GF,5,1.0,0,0,0,0,0,P
106 (3),Aug 11,DET,,SLB,W,7-4,GF,0,0.1,0,0,0,0,0,
107,Aug 12,DET,,SLB,W,2-1,GF,0,1.0,0,0,0,0,0,
108,Aug 13,DET,@,CLE,L,1-2,GF,8,2.0,0,0,0,0,0,P
115 (6),Aug 19 (2),DET,@,SLB,W,6-2,GS,0,8.1,1,1,0,2,0,
119 (3),Aug 22,DET,,NYY,W,7-6,,1,0.1,0,0,0,0,0,P
121 (1),Aug 24,DET,,WSH,L,7-10,GS,23,4.0,0,0,0,0,0,P
125 (3),Aug 28,DET,,BOS,W,5-4,GS,16,3.1,0,1,0,1,0,P
126,Aug 29,DET,,BOS,L,5-7,,8,2.0,0,0,0,0,0,P
133 (6),Sep 5,DET,@,CLE,L,2-5,,17,4.1,0,1,0,1,0,P
137 (3),Sep 9,DET,@,CHW,L,3-4,,1,0.1,0,0,0,0,0,P
141 (3),Sep 14,DET,@,NYY,L,2-5,GS,5,0.1,0,0,0,0,0,P
143 (1),Sep 16 (1),DET,@,WSH,W,3-1,CG,39,9.0,1,0,0,1,0,P
148 (4),Sep 22,DET,,CLE,W,9-4,CG,37,9.0,0,1,0,1,0,P
153 (4),Sep 29,DET,@,CLE,L,6-7,GS,33,7.1,0,1,0,1,0,P
