309,5 (4),Apr 7,SFG,@,SDP,L,6-7,GS-5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.71,-0.017,-0.16,,,P
310,10 (4),Apr 12,SFG,,ARI,W,6-2,GS-6,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,9,1.61,-0.003,-0.18,,,P
311,20 (9),Apr 24,SFG,,LAD,W,2-1,GS-7,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.200,.200,.400,.600,9,.61,-0.031,-0.34,,,P
312,25 (4),Apr 29,SFG,,SDP,L,4-12,GS-5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.333,.500,9,.99,-0.025,-0.23,,,P
313,30 (4),May 5,SFG,@,CIN,L,3-13,GS-4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.143,.286,.429,9,.68,-0.018,-0.24,,,P
314,35 (4),May 10,SFG,@,NYM,W,6-5,GS-6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.111,.111,.222,.333,9,1.93,-0.099,-0.88,,,P
315,40 (4),May 15,SFG,,LAD,W,8-4,GS-7,3,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.182,.182,.273,.455,9,.54,-0.024,-0.10,,,P
316,45 (4),May 21,SFG,@,STL,L,3-8,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.154,.231,.385,9,1.13,-0.058,-0.68,,,P
317,50 (4),May 26,SFG,,ATL,L,0-2,GS-7,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.133,.133,.200,.333,9,1.02,-0.051,-0.39,,,P
318,55 (4),May 31,SFG,,WSN,L,1-3,GS-5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.125,.188,.313,9,.38,-0.010,-0.10,,,P
319,60 (4),Jun 6,SFG,@,MIL,L,2-5,GS-6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.118,.118,.176,.294,9,.27,-0.007,-0.11,,,P
320,65 (4),Jun 11,SFG,,MIN,W,13-8,GS-5,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.105,.105,.158,.263,9,1.31,-0.107,-1.12,,,P
321,70 (4),Jun 17,SFG,@,COL,L,1-5,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.095,.095,.143,.238,9,.92,-0.055,-0.53,,,P
322,75 (4),Jun 22,SFG,@,ATL,L,11-12,GS-5,2,2,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,.130,.130,.217,.348,9,1.63,0.157,1.36,,,P
323,80 (4),Jun 27,SFG,,COL,W,4-3,GS-7,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.167,.167,.250,.417,9,.87,-0.008,-0.08,,,P
324,90 (9),Jul 9,SFG,,MIA,L,8-10,8-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.167,.167,.250,.417,6,,,,,,P
325,96 (5),Jul 19,SFG,,CLE,W,5-4,GS-7,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.192,.192,.269,.462,9,1.15,0.012,0.15,,,P
326,101 (4),Jul 24,SFG,,PIT,L,3-10,GS-4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.185,.185,.259,.444,9,.42,-0.011,-0.23,,,P
327,114 (12),Aug 7,SFG,,CHC,L,3-5,7-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.185,.185,.259,.444,8,,,,,,P
328,122 (7),Aug 16,SFG,@,MIA,L,1-8,GS-5,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.172,.172,.241,.414,9,1.07,-0.057,-0.80,,,P
329,127 (4),Aug 21,SFG,,MIL,W,2-0,7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.172,.172,.241,.414,9,,,,,,P
330,132 (4),Aug 27,SFG,@,ARI,L,0-11,8-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.172,.172,.241,.414,9,,,,,,P
331,136 (3),Aug 31,SFG,,STL,L,2-5,GS-5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.167,.233,.400,9,.73,-0.018,-0.16,,,P
332,161 (24),Sep 30,SFG,,SDP,L,2-3,GS-6,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.156,.156,.219,.375,9,1.26,-0.077,-0.87,,,P
