1319,1,Mar 31,CIN,,MIL,W,7-6,8-9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,2.68,-0.059,-0.46,PH
1320,3 (1),Apr 3,CIN,,MIL,W,12-3,7-GF,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,4,.02,0.001,1.00,PH 1B
1321,4,Apr 5,CIN,,HOU,W,8-2,5-GF,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.333,.250,.333,.583,2,.11,0.003,-0.29,PH 2B
1322,5,Apr 6,CIN,,HOU,W,12-4,6-7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.250,.200,.250,.450,9,.69,0.008,0.23,PH
1323,6,Apr 7,CIN,,HOU,L,2-3,5-6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,.333,.400,.733,9,1.36,0.056,0.38,PH
1324,9 (2),Apr 10,CIN,@,ARI,L,8-10,6-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.286,.333,.619,9,1.46,-0.036,-0.22,PH
1325,10,Apr 11,CIN,@,SDP,W,3-2,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.250,.286,.536,9,.43,-0.011,-0.09,PH
1326,11,Apr 12,CIN,@,SDP,W,8-2,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.222,.250,.472,9,.43,-0.011,-0.09,PH
1327,12,Apr 13,CIN,@,SDP,L,2-3,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.222,.250,.472,2,,,,2B
1328,13,Apr 15,CIN,,PIT,L,1-6,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.231,.250,.481,7,.25,-0.009,-0.10,2B
1329,14,Apr 16,CIN,,PIT,W,11-2,CG,5,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.176,.167,.176,.343,2,.59,0.000,-0.44,2B 1B
1330,15,Apr 17,CIN,,PIT,L,6-7,CG,5,4,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,.286,.304,.429,.733,2,1.40,0.302,1.88,2B
1331,16,Apr 18,CIN,,PIT,L,3-9,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.240,.259,.360,.619,7,.35,-0.033,-0.58,2B 1B
1332,19 (2),Apr 21,CIN,,ARI,W,7-4,CG,4,3,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,.250,.290,.357,.647,6,.82,0.125,1.15,3B
