3 (2),Apr 20,WSH,@,NYY,L,0-3,CG,34,8.0,2,5,0,7,0,P
8 (4),Apr 25,WSH,@,BOS,L,0-2,GS,28,7.0,0,1,0,1,0,P
12 (3),Apr 30,WSH,@,PHA,W,4-3,CG,34,9.0,3,0,0,3,0,P
15 (2),May 3,WSH,@,CHW,W,14-12,GF,6,1.2,0,0,0,0,0,P
18 (2),May 6,WSH,@,SLB,W,8-7,GS,33,7.0,0,2,0,2,0,P
23 (4),May 11,WSH,@,DET,W,11-1,GS,14,4.0,0,0,0,0,0,P
29 (5),May 18,WSH,,DET,W,6-3,GS,25,6.0,0,1,0,1,0,P
33 (3),May 22,WSH,,CHW,L,4-6,GF,10,1.1,0,1,0,1,0,P
34,May 23,WSH,,CHW,L,1-3,GF,2,0.1,0,0,0,0,0,P
38 (3),May 29,WSH,@,BOS,W,10-4,CG,41,9.0,1,4,0,5,0,P
43 (4),Jun 3,WSH,@,SLB,W,12-3,CG,36,9.0,1,3,0,4,0,P
48 (4),Jun 8,WSH,@,CLE,L,3-8,GS,13,2.1,1,2,0,3,0,P
49,Jun 11,WSH,@,DET,W,9-8,GF,10,3.0,0,0,0,0,0,P
51 (1),Jun 12 (2),WSH,@,DET,L,5-6,GF,9,1.1,1,0,0,1,0,P
55 (3),Jun 19 (1),WSH,,DET,L,0-9,GS,28,6.0,0,1,0,1,0,P
60 (4),Jun 23,WSH,,CLE,L,3-4,GS,31,7.0,1,1,0,2,0,P
64 (3),Jun 28,WSH,,PHA,L,1-6,,3,0.0,0,0,0,0,0,P
69 (4),Jul 3,WSH,,NYY,W,2-1,GS,18,4.0,0,0,0,0,0,P
75 (5),Jul 9,WSH,@,NYY,W,7-5,GS,26,6.0,1,2,0,3,0,P
80 (4),Jul 17 (2),WSH,@,SLB,L,4-7,GS,34,7.0,1,4,0,5,0,P
84 (3),Jul 22,WSH,@,CLE,L,1-2,CG,38,9.1,0,2,0,2,0,P
88 (3),Jul 26,WSH,,DET,L,2-6,GS,25,5.1,0,1,0,1,0,P
93 (4),Jul 30,WSH,,SLB,L,9-11,GS,43,7.2,0,2,0,2,0,P
98 (4),Aug 4 (2),WSH,,CLE,L,1-14,GS,12,2.0,0,0,0,0,0,P
109 (10),Aug 14 (2),WSH,@,BOS,L,4-13,GS,34,5.2,0,2,0,2,0,P
114 (4),Aug 20,WSH,,BOS,L,1-7,GS,31,7.0,1,3,0,4,1,P
127 (12),Sep 3,WSH,,NYY,L,0-6,GF,4,1.0,1,0,0,1,0,P
129 (1),Sep 5 (1),WSH,@,BOS,L,2-5,GF,15,4.0,0,2,0,2,0,P
131 (1),Sep 8 (1),WSH,@,PHA,L,1-9,GF,12,2.0,0,0,0,0,0,P
136 (4),Sep 11 (1),WSH,@,NYY,L,5-20,GS,14,2.0,0,0,0,0,0,P
138 (1),Sep 13,WSH,,CHW,L,2-3,GF,8,2.0,0,0,0,0,0,P
142 (3),Sep 18 (1),WSH,,DET,L,2-3,GS,32,7.0,1,1,0,2,1,P
146 (3),Sep 23 (1),WSH,,NYY,W,9-8,,5,1.0,0,1,0,1,0,P
150 (3),Sep 27,WSH,,BOS,L,4-6,GS,27,5.2,0,0,0,0,0,P
