1,Apr 15,CIN,,PIT,L,6-7,,5,1.1,0,0,0,0,0,P
4 (2),Apr 18,CIN,,PIT,L,3-5,,4,1.0,0,1,0,1,0,P
7 (2),Apr 21,CIN,,CHC,L,1-9,GS,21,3.2,0,2,1,3,0,P
10 (2),Apr 27,CIN,,STL,L,5-10,,4,0.1,0,0,0,0,0,P
14 (3),May 3,CIN,,NYG,L,8-9,GF,8,2.0,0,2,0,2,0,P
20 (5),May 9,CIN,,PHI,L,1-3,GF,5,1.0,0,0,0,0,0,P
23 (2),May 12,CIN,,PHI,W,7-6,GF,3,1.0,0,0,0,0,0,P
26 (2),May 17,CIN,@,PIT,L,5-7,GF,0,0.2,0,0,0,0,0,
38 (11),May 30 (2),CIN,@,PIT,L,6-7,,16,4.0,0,2,0,2,0,P
43 (4),Jun 4,CIN,@,NYG,L,5-8,,22,6.0,0,1,0,1,0,P
50 (6),Jun 13,CIN,@,BRO,W,8-5,GF,12,4.0,0,3,0,3,0,P
52 (1),Jun 15,CIN,@,BSN,L,3-4,GF,10,2.0,0,2,0,2,0,P
54 (1),Jun 17 (1),CIN,@,BSN,L,4-6,GF,15,3.0,0,3,0,3,0,P
58 (3),Jun 21 (1),CIN,,BRO,L,2-4,GS,16,2.1,0,1,0,1,0,P
65 (6),Jun 28,CIN,,BSN,W,5-4,GF,3,0.2,0,0,0,0,0,P
67 (1),Jun 29 (2),CIN,,BSN,L,3-10,,10,1.2,1,0,0,1,0,P
68,Jul 4 (1),CIN,@,STL,L,4-15,GF,0,5.0,2,0,0,2,0,
73 (4),Jul 7,CIN,,CHC,W,4-2,CG,39,9.0,1,2,0,3,0,P
78 (4),Jul 13,CIN,@,NYG,L,5-9,GF,17,3.0,0,0,0,0,0,P
81 (2),Jul 17,CIN,@,PHI,W,14-9,GF,0,1.2,0,1,0,1,0,
84 (2),Jul 19 (2),CIN,@,PHI,L,1-4,,0,0.0,0,0,0,0,0,
86 (1),Jul 20 (2),CIN,@,BSN,L,1-13,GF,0,4.0,0,1,0,1,1,
89 (2),Jul 24 (1),CIN,@,BRO,W,4-3,,5,1.0,0,1,0,1,0,P
