1,Apr 14,CLE,,DET,L,0-3,CG,38,9.0,1,0,0,1,0,RF
2,Apr 15,CLE,,DET,W,14-7,CG,42,9.0,2,0,0,2,0,RF
3,Apr 17,CLE,@,SLB,W,13-10,CG,53,10.0,3,0,0,3,0,RF
4,Apr 18,CLE,@,SLB,W,7-2,CG,39,9.0,1,0,0,1,0,RF
5,Apr 19,CLE,@,SLB,W,13-6,CG,43,9.0,1,1,0,2,1,RF
6,Apr 20,CLE,@,CHW,L,1-5,CG,35,8.0,2,0,0,2,0,RF
7,Apr 23,CLE,,CHW,W,6-0,CG,38,9.0,4,0,0,4,0,RF
8,Apr 24,CLE,,CHW,W,6-2,CG,39,9.0,0,0,0,0,0,RF
9,Apr 25,CLE,,SLB,L,3-6,CG,38,9.0,0,0,0,0,0,RF
10,Apr 26,CLE,,SLB,W,8-7,CG,70,16.0,3,0,0,3,0,RF
11,Apr 27,CLE,,SLB,W,2-1,CG,35,9.0,3,1,0,4,1,RF
12,Apr 28,CLE,@,NYY,L,0-2,CG,30,8.0,3,0,0,3,0,RF
13,Apr 29,CLE,@,NYY,L,1-6,CG,37,8.0,1,0,0,1,0,RF
14,Apr 30,CLE,@,NYY,L,1-8,CG,41,8.0,2,0,0,2,0,RF
54 (39),Jun 16,CLE,,NYY,W,8-4,GS,22,5.0,0,0,0,0,0,RF
55,Jun 17 (1),CLE,,NYY,L,4-15,GS,41,7.0,1,0,0,1,0,RF
57 (1),Jun 18,CLE,,NYY,L,5-6,GS,34,8.0,2,0,1,3,0,RF
58,Jun 19,CLE,,WSH,W,9-6,GS,0, ,2,0,0,2,0,
62 (3),Jun 23,CLE,,PHA,L,6-8,CG,42,9.0,1,0,0,1,0,RF
63,Jun 24 (1),CLE,,PHA,W,5-3,GS,35,8.0,0,0,0,0,0,RF
64,Jun 24 (2),CLE,,PHA,W,14-2,GS,13,3.0,0,0,0,0,0,RF
65,Jun 25,CLE,,BOS,L,4-9,CG,45,9.0,2,1,0,3,0,RF
66,Jun 26,CLE,,BOS,W,8-7,GS,34,8.0,2,1,0,3,0,RF
70 (3),Jul 1 (2),CLE,@,SLB,T,5-5,GF,35,7.0,1,0,0,1,0,RF
71,Jul 2 (1),CLE,@,SLB,W,14-6,CG,44,9.0,1,0,0,1,0,RF
72,Jul 2 (2),CLE,@,SLB,W,4-2,GS,4,1.0,1,0,0,1,0,RF
73,Jul 3,CLE,@,CHW,L,5-6,GS,33,7.0,2,0,0,2,0,RF
88 (14),Jul 19 (1),CLE,@,WSH,W,11-3,GF,9,2.0,0,0,0,0,0,RF
96 (7),Jul 26 (2),CLE,,PHA,W,8-5,CG,40,9.0,4,1,0,5,0,RF
97,Jul 28,CLE,,WSH,W,6-3,CG,39,9.0,2,0,0,2,0,RF
98,Jul 29 (1),CLE,,WSH,W,11-6,CG,46,9.0,4,0,0,4,0,RF
99,Jul 29 (2),CLE,,WSH,W,6-5,CG,39,9.0,1,0,0,1,0,RF
100,Jul 30,CLE,,WSH,W,11-8,CG,43,9.0,2,0,0,2,0,RF
101,Jul 31,CLE,,NYY,L,7-11,CG,49,9.0,2,0,0,2,0,RF
110 (8),Aug 9 (1),CLE,,CHW,W,9-1,GF,6,2.0,0,0,0,0,0,RF
118 (7),Aug 17,CLE,@,CHW,L,3-7,GF,20,4.0,1,0,0,1,0,RF
119,Aug 18,CLE,@,CHW,L,10-11,GS,19,4.0,2,0,1,3,0,RF
127 (7),Aug 29 (2),CLE,@,PHA,L,3-5,CG,22,4.0,0,0,0,0,0,RF
140 (12),Sep 10,CLE,,NYY,W,5-4,CG,39,9.0,2,0,0,2,0,RF
141,Sep 11,CLE,,WSH,L,2-7,CG,45,9.0,0,0,0,0,0,RF
142,Sep 12,CLE,,WSH,L,2-12,CG,47,9.0,2,0,0,2,0,RF
144 (1),Sep 13 (2),CLE,,PHA,W,5-4,GF,12,3.0,1,0,0,1,0,RF
146 (1),Sep 16,CLE,,BOS,W,13-3,CG,29,6.0,0,0,0,0,0,RF
147,Sep 17,CLE,@,DET,L,2-5,CG,0,8.0,2,0,1,3,0,
151 (3),Sep 22,CLE,,CHW,T,8-8,GF,0, ,0,0,0,0,0,
156 (4),Sep 26,CLE,,DET,W,5-3,CG,0,9.0,2,0,0,2,0,
157,Sep 27,CLE,,DET,W,9-1,CG,28,6.0,1,0,0,1,0,RF
