4,63 (62),Jun 11,CHC,@,PHI,W,9-2,GS-8,4,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.667,.667,1.000,1.667,9,.43,0.051,0.51,P
5,70 (6),Jun 18 (2),CHC,,LAD,W,7-4,GS-6,2,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.600,.600,1.000,1.600,9,.82,0.068,0.99,P
6,74 (3),Jun 22,CHC,@,SDP,W,9-6,GS-6,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.429,.429,.714,1.143,9,1.62,-0.075,-0.76,P
7,79 (4),Jun 29,CHC,@,CIN,L,5-9,GS-4,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.444,.444,.667,1.111,9,.72,0.028,0.28,P
8,135 (55),Sep 1,CHC,,ATL,W,2-1,12-GF(12),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.444,.444,.667,1.111,8,,,,P
9,138 (2),Sep 4,CHC,@,FLA,L,2-9,2-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,.400,.600,1.000,9,.24,-0.006,-0.16,P
10,141 (2),Sep 7,CHC,@,PHI,L,2-4,7-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.400,.400,.600,1.000,9,,,,P
11,148 (6),Sep 15,CHC,,PHI,L,1-6,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.400,.400,.600,1.000,8,,,,P
12,150 (1),Sep 18,CHC,@,STL,L,3-5,7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.400,.400,.600,1.000,9,,,,P
13,151,Sep 19,CHC,@,STL,L,4-5,11-GF(13),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.400,.400,.600,1.000,9,,,,P
14,154 (2),Sep 22,CHC,@,PIT,L,3-11,2-5,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.400,.400,.600,1.000,9,,,,P
15,157 (2),Sep 25,CHC,@,CIN,L,3-4,7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.400,.400,.600,1.000,9,,,,P
16,160 (2),Sep 27 (2),CHC,,PIT,W,10-9,GS-4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.364,.364,.545,.909,9,.36,-0.009,-0.17,P
