1,Apr 10,LAD,@,ATL,W,6-4,GF,6,1.2,0,0,0,0,0,P
2,Apr 11,LAD,@,ATL,W,4-2,,1,0.1,0,0,0,0,0,P
5 (2),Apr 14,LAD,,SDP,L,3-5,,3,0.1,0,0,0,0,0,P
6,Apr 15,LAD,@,SFG,W,2-1,,1,0.1,0,0,0,0,0,P
11 (4),Apr 20,LAD,@,SDP,L,3-5,,2,0.1,0,0,0,0,0,P
13 (1),Apr 22,LAD,,ATL,L,1-7,,3,0.2,0,1,0,1,0,P
18 (4),Apr 27,LAD,,SFG,L,3-4,,2,0.1,0,0,0,0,0,P
24 (5),May 5,LAD,@,PHI,W,3-2,,3,0.2,0,0,0,0,0,P
27 (2),May 10,LAD,,PHI,W,3-1,GF,2,0.2,0,0,0,0,0,P
28,May 11,LAD,,PHI,W,3-2,,3,1.0,0,0,0,0,0,P
30 (1),May 13,LAD,,MON,W,8-3,,1,0.0,0,0,0,0,0,P
33 (2),May 17,LAD,,NYM,L,2-4,,1,0.1,0,0,0,0,0,P
34,May 18,LAD,,NYM,W,4-3,,1,0.2,0,0,0,0,0,P
35,May 19,LAD,,NYM,W,7-5,,1,0.0,0,0,0,0,0,P
37 (1),May 21,LAD,@,HOU,W,7-3,,2,0.2,0,0,0,0,0,P
38,May 22,LAD,@,HOU,L,2-3,,1,0.1,0,0,0,0,0,P
39,May 23,LAD,@,HOU,W,2-0,,1,0.1,0,0,0,0,0,P
40,May 24,LAD,@,CIN,W,11-3,,1,0.1,0,0,0,0,0,P
48 (7),Jun 1,LAD,,CIN,L,5-6,,3,1.0,0,0,0,0,0,P
50 (1),Jun 4,LAD,@,STL,L,2-3,,2,0.2,0,0,0,0,0,P
52 (1),Jun 6,LAD,@,STL,W,1-0,,2,0.1,0,0,0,0,0,P
53,Jun 7,LAD,@,CHC,W,3-2,,3,1.0,0,0,0,0,0,P
55 (1),Jun 9,LAD,@,CHC,W,6-3,,4,1.0,0,0,0,0,0,P
57 (1),Jun 12,LAD,@,PIT,L,1-2,GF,3,1.0,0,0,0,0,0,P
58,Jun 13,LAD,@,PIT,W,3-2,,5,1.0,0,0,0,0,0,P
63 (4),Jun 18,LAD,,CHC,W,6-5,,3,1.0,0,1,0,1,0,P
64,Jun 19,LAD,,CHC,W,9-8,,1,0.0,0,0,0,0,0,P
71 (6),Jun 28 (1),LAD,@,ATL,L,2-3,,1,0.2,0,0,0,0,0,P
73 (1),Jun 29,LAD,@,ATL,W,2-1,,4,1.0,0,0,0,0,0,P
75 (1),Jul 2,LAD,@,SDP,W,4-1,,2,1.0,0,0,0,0,0,P
76,Jul 3,LAD,@,SDP,W,6-3,GF,1,0.1,0,0,0,0,0,P
79 (2),Jul 6,LAD,,ATL,W,7-6,,4,1.1,0,0,0,0,0,P
80,Jul 7,LAD,,ATL,W,5-3,,1,0.1,0,0,0,0,0,P
85 (4),Jul 15,LAD,@,PHI,L,8-9,,5,1.0,0,0,0,0,0,P
87 (1),Jul 17,LAD,@,PHI,L,2-4,,4,0.2,0,0,0,0,0,P
88,Jul 18,LAD,@,NYM,W,10-5,GF,4,1.0,0,0,0,0,0,P
92 (3),Jul 23,LAD,,PHI,W,6-5,,1,0.1,0,0,0,0,0,P
93,Jul 24,LAD,,PHI,W,2-1,GF,8,2.0,0,0,0,0,0,P
101 (7),Aug 2,LAD,@,HOU,L,8-9,GF,1,0.0,0,0,0,0,0,P
102,Aug 3,LAD,@,HOU,L,1-2,GF,1,0.0,0,0,0,0,0,P
105 (2),Aug 6,LAD,@,CIN,W,5-2,,2,0.1,0,0,0,0,0,P
108 (2),Aug 9,LAD,@,SFG,L,0-1,,1,0.1,0,0,0,0,0,P
109,Aug 10,LAD,@,SFG,L,3-4,GF,1,0.1,0,0,0,0,0,P
113 (3),Aug 14,LAD,,CIN,W,4-1,,2,1.0,0,0,0,0,0,P
116 (2),Aug 17,LAD,,HOU,W,8-7,,5,1.0,0,0,0,0,0,P
120 (3),Aug 21,LAD,,SDP,W,9-5,,3,0.1,0,0,0,0,0,P
121,Aug 23,LAD,@,STL,L,1-2,,2,0.1,0,0,0,0,0,P
126 (4),Aug 28,LAD,,PIT,L,4-6,,3,0.1,0,0,0,0,0,P
127,Aug 29,LAD,,PIT,L,1-4,,1,0.1,0,0,0,0,0,P
131 (3),Sep 2,LAD,,STL,L,4-7,,3,0.1,0,0,0,0,0,P
134 (2),Sep 6 (1),LAD,@,PIT,W,4-3,,4,0.1,0,0,0,0,0,P
143 (8),Sep 14,LAD,@,ATL,L,2-3,,2,0.1,0,0,0,0,0,P
145 (1),Sep 16,LAD,,CIN,W,6-5,,1,0.0,0,0,0,0,0,P
152 (6),Sep 24,LAD,@,SDP,W,5-2,,1,0.1,0,0,0,0,0,P
156 (3),Sep 29,LAD,,SFG,W,3-2,,1,0.1,0,0,0,0,0,P
157,Sep 30,LAD,,SDP,W,7-2,GF,3,1.0,0,0,0,0,0,P
158,Oct 1,LAD,,SDP,W,3-1,,1,0.1,0,0,0,0,0,P
159,Oct 2,LAD,,SDP,L,4-9,,1,0.0,0,0,0,0,0,P
160,Oct 4,LAD,@,SFG,L,1-4,,3,0.2,0,0,0,0,0,P
