14,3 (2),Apr 14,NYM,,PIT,L,2-6,GS-9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,8,.38,-0.029,-0.43,C
15,4,Apr 15,NYM,,PIT,L,2-7,5-GF,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.200,.000,.200,8,.25,-0.012,-0.20,C
16,5,Apr 17,NYM,,HOU,L,2-5,GS-9,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.125,.000,.125,8,.74,-0.056,-0.43,C
17,7 (1),Apr 19,NYM,,STL,L,4-9,GS-8,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.100,.182,.100,.282,8,1.02,-0.005,-0.18,C
18,8,Apr 21,NYM,@,PIT,L,4-8,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.091,.167,.091,.258,8,.76,-0.031,-0.79,C
19,9,Apr 22,NYM,@,PIT,L,3-4,CG,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.077,.133,.077,.210,8,1.51,-0.067,-0.71,C
20,10,Apr 23,NYM,@,PIT,W,9-1,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.063,.158,.063,.220,8,.43,0.043,0.06,C
21,11,Apr 24,NYM,@,CIN,L,3-7,GS-2,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.063,.158,.063,.220,8,,,,C
22,12,Apr 25,NYM,@,CIN,L,1-7,CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.053,.136,.053,.189,8,.59,-0.045,-0.66,C
23,14 (1),Apr 28,NYM,,PHI,W,8-6,GS-6,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.095,.200,.095,.295,8,.96,0.092,0.77,C
24,16 (1),Apr 29 (2),NYM,,PHI,L,2-10,7-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.095,.200,.095,.295,8,,,,C
