1,Apr 5,FLA,@,NYM,L,1-7,CG,38,8.0,1,1,0,2,0,3B
2,Apr 7,FLA,@,NYM,W,7-6,GS,45,10.0,5,1,0,6,0,3B 1B
3,Apr 8,FLA,@,NYM,W,3-1,GS,35,9.0,1,4,0,5,0,3B 1B
4,Apr 9,FLA,,LAD,L,3-7,CG,41,9.0,0,3,0,3,0,3B
5,Apr 10,FLA,,LAD,W,7-6,CG,42,9.0,0,3,0,3,0,3B
6,Apr 11,FLA,,LAD,W,6-5,GS,40,9.0,0,2,0,2,0,3B 1B
7,Apr 12,FLA,,CIN,L,5-6,CG,43,10.0,0,1,1,2,0,3B
8,Apr 13,FLA,,CIN,L,8-10,GS,51,11.0,5,1,1,7,0,3B 1B
9,Apr 14,FLA,,CIN,W,5-3,GS,36,9.0,2,0,0,2,0,3B 1B
10,Apr 15,FLA,,CIN,W,10-2,GS,29,7.0,0,2,0,2,0,3B
11,Apr 16,FLA,@,PHI,L,6-8,CG,40,8.0,0,3,0,3,1,3B
12,Apr 17,FLA,@,PHI,W,5-1,GS,33,9.0,5,1,0,6,1,3B 1B
13,Apr 18,FLA,@,PHI,W,2-0,GS,36,9.0,0,4,0,4,0,3B 1B
14,Apr 20,FLA,@,HOU,L,5-7,CG,37,8.0,9,1,0,10,0,1B
15,Apr 21,FLA,@,HOU,L,4-5,CG,33,8.0,1,3,0,4,0,3B
16,Apr 22,FLA,@,HOU,W,5-1,GS,36,9.0,5,1,0,6,0,3B 1B
17,Apr 24 (1),FLA,@,COL,W,4-1,GS,32,9.0,2,3,0,5,1,3B 1B
18,Apr 24 (2),FLA,@,COL,L,1-8,CG,40,8.0,6,0,0,6,2,1B
19,Apr 25,FLA,@,COL,L,4-8,CG,39,8.0,0,1,0,1,0,3B
20,Apr 26,FLA,,SDP,W,10-1,GS,21,6.0,0,1,0,1,0,3B
21,Apr 27,FLA,,SDP,L,1-4,CG,41,9.0,0,0,0,0,0,3B
22,Apr 28,FLA,,SDP,L,4-6,CG,39,9.0,6,1,0,7,0,1B
23,Apr 30,FLA,,WSN,L,1-7,CG,43,9.0,2,0,0,2,0,3B
24,May 1,FLA,,WSN,W,7-1,GS,31,9.0,3,1,0,4,0,3B 1B
25,May 2,FLA,,WSN,W,9-3,GS,38,9.0,3,2,0,5,0,3B 1B
26,May 4,FLA,,SFG,L,6-9,GS,54,12.0,3,1,1,5,0,3B 1B
27,May 5,FLA,,SFG,L,2-3,GS,39,9.0,1,4,0,5,0,3B 1B
28,May 6,FLA,,SFG,L,3-6,CG,36,9.0,0,1,0,1,0,3B
