47 (46),May 31,DET,@,BAL,W,5-4,GS,8,1.0,0,0,0,0,0,P
49 (1),Jun 2,DET,,MIL,L,2-5,,7,1.1,0,0,0,0,0,P
54 (4),Jun 8,DET,@,TEX,L,1-8,,8,1.1,0,0,0,0,0,P
57 (2),Jun 11,DET,@,MIN,W,7-2,,2,0.2,0,0,0,0,0,P
60 (2),Aug 12,DET,,TOR,L,3-4,,7,2.0,0,1,0,1,0,P
61,Aug 13,DET,,NYY,L,0-3,,6,1.2,0,0,0,0,0,P
63 (1),Aug 15,DET,,NYY,W,8-5,,2,0.1,0,0,0,0,0,P
64,Aug 16,DET,,NYY,W,5-4,,1,0.1,0,0,0,0,0,P
68 (3),Aug 21,DET,,TEX,W,7-4,,6,1.2,0,0,0,0,0,P
70 (1),Aug 23,DET,,TEX,W,5-4,,3,0.2,0,0,0,0,0,P
73 (2),Aug 26,DET,,KCR,L,1-6,GF,22,4.2,0,0,0,0,0,P
76 (2),Aug 29,DET,@,MIN,L,1-7,GF,7,2.0,0,0,0,0,0,P
84 (7),Sep 6,DET,@,TEX,W,4-3,,8,2.0,0,0,0,0,0,P
88 (3),Sep 11,DET,,CLE,W,6-3,GS,13,2.1,0,2,0,2,0,P
96 (7),Sep 19,DET,@,CLE,W,4-3,GF,2,0.2,0,0,0,0,0,P
99 (2),Sep 22,DET,@,BAL,W,6-3,GF,27,7.1,0,0,0,0,0,P
104 (4),Sep 28,DET,,BAL,L,3-7,GS,14,2.2,0,2,0,2,1,P
107 (2),Oct 2,DET,@,MIL,L,2-8,GF,3,1.0,0,0,0,0,0,P
