30,81 (80),Jul 4,KCR,,BOS,L,2-9,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,2,.09,-0.002,-0.90,CF
31,84 (2),Jul 7,KCR,,MIL,W,7-3,CG,5,4,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,.200,.333,.200,.533,2,.19,-0.010,0.22,CF
32,89 (4),Jul 15 (2),KCR,@,BOS,L,4-7,GS-9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.111,.200,.111,.311,1,1.32,-0.169,-1.75,CF
33,91 (1),Jul 17,KCR,@,BOS,L,8-10,7-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.111,.200,.111,.311,5,,,,PR RF
34,92,Jul 18,KCR,@,MIL,L,1-6,7-GF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.111,.273,.111,.384,6,.22,0.007,0.38,PR RF
35,94 (1),Jul 20,KCR,@,MIL,W,4-0,13-13,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,.111,.273,.111,.384,9,,0.000,0.00,PR
36,95,Jul 21,KCR,,NYY,W,6-5,9-GF,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,.111,.273,.111,.384,8,,0.000,0.00,PR
37,96,Jul 22,KCR,,NYY,L,8-9,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.111,.273,.111,.384,6,,,,PR
38,102 (5),Jul 29,KCR,@,BAL,W,6-2,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.071,.188,.071,.259,1,.36,-0.041,-1.01,CF
39,103,Jul 30,KCR,@,BAL,W,8-7,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.200,.111,.311,9,1.05,-0.065,-0.47,LF
40,106 (2),Aug 2,KCR,,DET,L,0-1,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.250,.227,.477,8,1.35,-0.101,-0.28,LF
41,109 (2),Aug 6,KCR,@,TOR,W,11-1,8-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.174,.240,.217,.457,1,.00,0.000,-0.10,CF
42,113 (3),Aug 10,KCR,,BAL,W,4-3,2-GF,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.214,.192,.407,1,1.27,-0.100,-1.02,PH CF
43,114,Aug 11,KCR,,BAL,W,6-5,GS-8,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.138,.194,.172,.366,9,.72,-0.075,-0.91,CF
