1,116 (115),Aug 12,COL,@,PHI,L,6-10,6-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,7,,,,,,P
2,120 (3),Aug 16,COL,,WSN,W,6-2,7-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,5,,,,,,P
3,121,Aug 17,COL,,WSN,W,12-10,7-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,P
4,122,Aug 19,COL,,CHC,W,7-6,11-GF(11),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,P
5,124 (1),Aug 21,COL,,CHC,W,11-4,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,P
6,126 (1),Aug 23,COL,@,MIL,L,4-6,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,5,,,,,,P
7,128 (1),Aug 26,COL,@,WSN,L,5-8,7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,P
8,129,Aug 27,COL,@,WSN,W,9-4,11-GF(11),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,8,,,,,,P
9,131 (1),Aug 29,COL,,LAD,W,8-1,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,3,,,,,,P
10,133 (1),Aug 31 (2),COL,,LAD,L,8-10,8-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,6,,,,,,P
11,140 (6),Sep 8,COL,@,SDP,L,1-14,6-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,4,,,,,,P
12,145 (4),Sep 13,COL,@,ARI,L,4-11,5-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,P
13,146,Sep 14,COL,@,ARI,L,6-11,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,P
14,151 (4),Sep 20,COL,,STL,L,5-10,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,3,,,,,,P
15,152,Sep 21,COL,,STL,W,11-1,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,3,,,,,,P
16,155 (2),Sep 24,COL,@,LAD,L,1-14,5-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,P
17,157 (1),Sep 27,COL,@,SFG,L,3-12,5-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,P
18,161 (3),Oct 1,COL,,MIL,L,3-4,9-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,7,,,,,,P
19,162,Oct 2,COL,,MIL,L,4-6,7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,P
