236,2 (1),Apr 16,CIN,,LAD,W,10-1,7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.15,-0.004,-0.20,PH
237,3,Apr 18,CIN,,HOU,L,4-8,6-7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,2.16,-0.049,-0.25,PH
238,4,Apr 19,CIN,,HOU,L,5-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,8,1.56,-0.037,-0.20,PH
239,5,Apr 21,CIN,@,ATL,W,4-3,9-9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.250,.000,.250,8,2.28,0.082,0.38,PH
240,6,Apr 22,CIN,@,ATL,L,7-11,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.200,.000,.200,9,.12,-0.003,-0.22,PH
241,7,Apr 23,CIN,@,ATL,L,3-4,9-9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.167,.000,.167,9,4.41,-0.111,-0.42,PH
242,8,Apr 25,CIN,@,PIT,L,2-5,9-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.143,.000,.143,9,2.17,-0.058,-0.20,PH
243,10 (1),Apr 27,CIN,@,PIT,W,5-4,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.125,.000,.125,9,3.86,-0.083,-0.43,PH
244,11,Apr 28,CIN,@,CHC,L,8-10,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.111,.000,.111,9,1.47,-0.041,-0.31,PH
245,12,Apr 29,CIN,@,CHC,W,3-2,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.100,.000,.100,9,3.30,-0.083,-0.42,PH
246,13,Apr 30,CIN,@,CHC,L,4-6,9-GF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.182,.000,.182,8,1.45,0.074,0.38,PH
247,14,May 2,CIN,@,STL,W,7-6,7-7,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.250,.000,.250,9,1.36,0.042,0.37,PH
248,15,May 3,CIN,@,STL,L,1-2,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.231,.000,.231,9,1.61,-0.043,-0.20,PH
249,16,May 4,CIN,@,STL,W,9-5,GS-8,4,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.083,.353,.083,.436,6,1.31,0.103,0.82,RF
250,17,May 5,CIN,,PIT,W,5-4,GS-7,3,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.143,.400,.143,.543,6,1.04,0.042,0.22,RF
251,18,May 6,CIN,,PIT,L,1-8,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.375,.167,.542,6,.21,-0.011,-0.22,RF
252,19,May 7,CIN,,PIT,L,6-9,GS-6,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.150,.370,.150,.520,6,.79,-0.025,-0.28,RF
253,22 (2),May 12,CIN,,STL,W,5-4,8-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.150,.370,.150,.520,9,,,,PH
254,29 (6),May 18,CIN,@,SFG,W,8-5,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.357,.143,.500,9,.61,-0.036,-0.60,PH
255,31,May 19,STL,,CHC,W,4-3,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.167,.375,.167,.542,6,.92,0.029,0.39,RF
