90 (89),Jul 25,CIN,@,CHC,W,6-5,CG,38,9.0,2,2,0,4,1,SS
91,Jul 26,CIN,@,LAD,W,4-1,CG,31,9.0,2,4,0,6,1,SS
92,Jul 27,CIN,@,LAD,L,0-2,CG,31,8.0,3,3,1,7,1,SS
93,Jul 28,CIN,@,LAD,L,6-8,CG,34,8.0,3,4,1,8,1,SS
94,Jul 29,CIN,@,SFG,L,1-2,CG,31,8.0,1,1,0,2,0,SS
95,Jul 30,CIN,@,SFG,L,1-2,CG,38,9.2,1,3,1,5,0,SS
96,Jul 31,CIN,@,SFG,L,2-6,CG,40,8.0,3,5,0,8,0,SS
97,Aug 2,CIN,@,CHC,L,3-5,CG,35,8.0,1,3,0,4,2,SS
98,Aug 3 (1),CIN,@,CHC,W,7-3,CG,36,9.0,0,3,0,3,0,SS
99,Aug 3 (2),CIN,@,CHC,L,2-4,CG,34,8.0,2,3,0,5,0,SS
100,Aug 4,CIN,@,CHC,L,3-5,GS,24,6.0,0,5,0,5,0,SS
101,Aug 5,CIN,@,STL,W,3-0,GS,29,8.0,1,3,0,4,0,SS
102,Aug 6,CIN,@,STL,L,5-6,GS,35,7.0,2,5,0,7,0,SS
103,Aug 7 (1),CIN,@,STL,W,18-4,CG,39,9.0,4,3,0,7,2,SS
104,Aug 7 (2),CIN,@,STL,L,2-4,CG,35,8.0,0,3,0,3,2,SS
105,Aug 8,CIN,,SFG,W,4-3,GS,29,7.0,0,4,0,4,1,SS
106,Aug 10,CIN,,SFG,W,5-3,GS,33,8.0,0,0,0,0,0,SS
107,Aug 11,CIN,,LAD,L,0-3,CG,38,9.0,0,4,0,4,0,SS
108,Aug 12,CIN,,LAD,W,3-2,CG,36,9.0,2,3,0,5,0,SS
109,Aug 13,CIN,,LAD,W,6-2,GS,34,8.0,2,1,1,4,1,SS
110,Aug 14 (1),CIN,,LAD,W,2-0,CG,36,9.0,2,2,0,4,1,SS
111,Aug 14 (2),CIN,,LAD,L,5-9,CG,43,9.0,1,4,1,6,2,SS
112,Aug 15 (1),CIN,,MLN,W,5-3,CG,39,9.0,1,3,0,4,1,SS
113,Aug 15 (2),CIN,,MLN,W,4-0,CG,36,9.0,4,4,0,8,4,SS
114,Aug 16,CIN,,MLN,L,1-2,CG,37,9.0,4,3,0,7,3,SS
115,Aug 17,CIN,,MLN,L,4-11,CG,46,9.0,2,1,0,3,0,SS
116,Aug 18,CIN,,PIT,L,2-3,CG,33,9.0,3,4,0,7,1,SS
117,Aug 19,CIN,,PIT,W,4-3,CG,38,9.0,2,2,0,4,1,SS
118,Aug 20,CIN,,PIT,L,7-10,CG,44,9.0,0,4,0,4,1,SS
119,Aug 21,CIN,,PIT,W,8-4,CG,36,9.0,1,4,0,5,0,SS
120,Aug 22,CIN,@,CHC,L,3-6,GS,31,6.0,2,0,1,3,0,SS
121,Aug 23,CIN,@,SFG,L,1-6,GS,23,6.0,1,4,0,5,1,SS
122,Aug 24,CIN,@,SFG,W,3-2,CG,53,13.0,2,3,0,5,0,SS
123,Aug 25,CIN,@,SFG,L,5-8,CG,34,8.0,3,4,0,7,0,SS
124,Aug 26 (1),CIN,@,LAD,L,1-10,CG,41,8.0,1,3,0,4,1,SS
125,Aug 26 (2),CIN,@,LAD,L,0-2,GS,29,7.0,1,1,0,2,0,SS
126,Aug 28,CIN,@,LAD,W,9-3,CG,33,9.0,4,4,0,8,2,SS
127,Aug 30,CIN,@,CHC,L,4-5,GS,34,7.0,3,2,0,5,0,SS
129 (1),Sep 1,CIN,,STL,W,7-4,GF,3,1.0,0,0,0,0,0,SS
132 (2),Sep 4,CIN,,MLN,W,9-5,GF,3,1.0,0,0,0,0,0,SS
134 (1),Sep 6,CIN,@,PHI,W,6-1,,8,2.0,1,0,0,1,0,SS
136 (1),Sep 8,CIN,,LAD,L,4-7,GF,7,2.0,1,1,0,2,0,SS
140 (3),Sep 11 (2),CIN,,SFG,L,2-3,CG,42,9.0,1,0,1,2,0,SS
148 (7),Sep 23,CIN,,PHI,L,1-6,CG,38,9.0,2,2,0,4,0,SS
149,Sep 24,CIN,,PHI,W,5-0,CG,35,9.0,3,1,0,4,0,SS
152 (2),Sep 30,CIN,@,PHI,L,6-7,CG,58,13.1,1,8,1,10,2,SS
153,Oct 1,CIN,@,PHI,L,3-7,CG,38,8.0,0,1,1,2,0,SS
