7 (6),Apr 11,CAL,,SEA,W,6-1,CG,35,9.0,15,1,0,16,0,1B
8,Apr 12,CAL,,SEA,L,1-8,CG,40,9.0,12,1,0,13,2,1B
9,Apr 13,CAL,,SEA,W,6-1,CG,30,9.0,10,0,0,10,0,1B
10,Apr 15,CAL,@,MIN,W,8-2,CG,35,9.0,7,1,0,8,1,1B
11,Apr 16,CAL,@,MIN,W,9-5,CG,37,9.0,8,0,0,8,0,1B
12,Apr 17,CAL,@,MIN,L,8-11,CG,41,8.0,13,0,0,13,1,1B
13,Apr 18,CAL,,OAK,L,3-5,CG,39,9.0,8,1,1,10,2,1B
14,Apr 21 (1),CAL,,OAK,W,6-2,CG,34,9.0,12,2,0,14,1,1B
15,Apr 21 (2),CAL,,OAK,W,6-5,CG,36,9.0,8,0,0,8,0,1B
16,Apr 22,CAL,,BAL,W,6-5,CG,46,11.0,14,0,0,14,1,1B
17,Apr 23,CAL,,BAL,L,1-3,CG,38,9.0,8,0,0,8,3,1B
18,Apr 24,CAL,,BAL,W,7-3,CG,38,9.0,9,1,0,10,1,1B
19,Apr 27,CAL,,DET,W,13-3,CG,39,9.0,10,0,0,10,0,1B
20,Apr 29,CAL,,BOS,L,5-6,CG,41,9.0,11,0,0,11,1,1B
21,Apr 30,CAL,,BOS,W,4-1,CG,39,11.0,23,0,0,23,4,1B
22,May 1,CAL,,BOS,L,9-10,CG,46,9.0,10,1,0,11,2,1B
23,May 3,CAL,@,BAL,L,2-4,CG,33,8.0,7,0,0,7,1,1B
24,May 4,CAL,@,BAL,W,16-8,GS,34,6.0,5,1,0,6,0,1B
25,May 6,CAL,@,DET,W,4-2,CG,36,9.0,10,2,0,12,1,1B
26,May 7,CAL,@,DET,W,6-5,CG,49,12.0,21,0,0,21,0,1B
31 (4),May 13,CAL,,MIN,L,4-5,CG,47,11.0,11,1,0,12,2,1B
32,May 14,CAL,,MIN,L,1-2,CG,38,9.0,13,1,0,14,0,1B
33,May 15,CAL,,MIN,L,6-8,CG,43,9.0,13,1,1,15,2,1B
34,May 17,CAL,@,SEA,W,3-1,CG,35,9.0,11,0,0,11,1,1B
35,May 18,CAL,@,SEA,L,1-2,GS,14,3.0,2,0,0,2,0,1B
36,May 19,CAL,@,SEA,L,0-1,CG,32,8.0,9,0,0,9,0,1B
37,May 20,CAL,,CLE,W,5-4,CG,39,9.0,9,2,1,12,2,1B
38,May 21,CAL,,CLE,L,3-9,CG,44,9.0,13,0,0,13,1,1B
39,May 22,CAL,,CLE,W,9-0,CG,32,9.0,11,0,0,11,1,1B
40,May 23,CAL,,NYY,W,3-0,CG,34,9.0,11,1,0,12,2,1B
41,May 24,CAL,,NYY,W,7-6,CG,45,10.0,11,1,0,12,2,1B
47 (5),May 31,CAL,@,NYY,L,3-5,CG,36,8.0,9,0,0,9,0,1B
