1,Apr 6,TOR,,DET,W,12-5,,1,0.1,0,0,0,0,0,P
4 (2),Apr 9,TOR,,DET,W,6-2,,3,0.2,0,0,0,0,0,P
5,Apr 10,TOR,@,CLE,W,13-7,,3,0.1,0,1,0,1,0,P
7 (1),Apr 12,TOR,@,CLE,L,4-8,,7,1.2,0,0,0,0,0,P
9 (1),Apr 14,TOR,@,MIN,L,2-3,GF,8,1.2,0,1,0,1,0,P
12 (2),Apr 17,TOR,,OAK,L,5-8,,6,1.1,0,0,0,0,0,P
13,Apr 18,TOR,,OAK,W,4-2,,4,1.1,0,1,0,1,0,P
16 (2),Apr 22,TOR,,TEX,W,8-7,,4,1.1,0,0,0,0,0,P
17,Apr 23,TOR,,TEX,W,5-2,,3,0.2,0,0,0,0,0,P
20 (2),Apr 26,TOR,@,CHW,W,4-3,,2,0.2,0,0,0,0,0,P
22 (1),Apr 28,TOR,@,KCR,W,8-1,,5,1.0,0,0,0,0,0,P
24 (1),Apr 30,TOR,@,KCR,L,6-8,GF,5,1.0,0,1,0,1,0,P
26 (1),May 2,TOR,,BAL,W,5-4,,6,1.2,0,0,0,0,0,P
27,May 3,TOR,,BAL,W,4-3,,3,1.0,0,0,0,0,0,P
29 (1),May 5,TOR,,CLE,W,10-6,,5,0.1,0,1,0,1,0,P
33 (3),May 9,TOR,@,OAK,W,6-4,,3,1.0,0,0,0,0,0,P
34,May 10,TOR,@,OAK,W,5-0,GF,2,0.2,0,0,0,0,0,P
37 (2),May 14,TOR,,NYY,L,2-3,,5,0.2,0,0,0,0,0,P
38,May 15,TOR,,CHW,W,8-3,,6,2.0,1,0,0,1,0,P
40 (1),May 17,TOR,,CHW,W,8-2,,2,0.2,0,0,0,0,0,P
41,May 18,TOR,,CHW,W,3-2,,5,1.0,0,0,0,0,0,P
44 (2),May 21,TOR,@,BOS,L,1-5,,3,1.0,0,0,0,0,0,P
45,May 22,TOR,@,ATL,L,0-1,GF,4,1.0,1,0,0,1,0,P
47 (1),May 24,TOR,@,ATL,L,2-10,,3,1.0,2,0,0,2,1,P
49 (1),May 26,TOR,@,BAL,L,2-7,,5,1.2,0,0,0,0,0,P
50,May 27,TOR,@,BAL,L,10-12,,6,0.1,0,0,0,0,0,P
55 (4),Jun 3,TOR,,LAA,L,1-8,,7,1.0,0,0,0,0,0,P
58 (2),Jun 6,TOR,,KCR,L,2-6,,6,1.0,0,0,0,0,0,P
63 (4),Jun 12,TOR,,FLA,L,3-7,,1,0.0,0,0,0,0,0,P
65 (1),Jun 14,TOR,,FLA,L,3-11,,8,1.1,0,0,0,0,0,P
66,Jun 16,TOR,@,PHI,W,8-3,GF,4,1.0,0,0,0,0,0,P
68 (1),Jun 18,TOR,@,PHI,W,8-7,,3,1.0,0,0,0,0,0,P
69,Jun 19,TOR,@,WSN,L,1-2,,4,1.0,0,0,0,0,0,P
71 (1),Jun 21,TOR,@,WSN,W,9-4,,6,0.2,0,0,0,0,0,P
72,Jun 23,TOR,,CIN,W,7-5,,4,1.0,0,0,0,0,0,P
74 (1),Jun 25,TOR,,CIN,L,5-7,GF,4,1.0,0,0,0,0,0,P
76 (1),Jun 27,TOR,,PHI,L,0-10,GF,3,1.0,0,0,0,0,0,P
79 (2),Jun 30,TOR,,TBR,L,1-4,,4,0.1,0,0,0,0,0,P
81 (1),Jul 3,TOR,@,NYY,L,2-4,GF,4,1.0,0,1,0,1,0,P
82,Jul 4,TOR,@,NYY,L,5-6,,1,0.1,1,0,0,1,0,P
83,Jul 5,TOR,@,NYY,L,8-10,,4,1.0,0,0,0,0,0,P
86 (2),Jul 8,TOR,@,TBR,L,9-10,,5,1.0,0,0,0,0,0,P
88 (1),Jul 10,TOR,@,BAL,W,2-0,,4,1.1,0,0,0,0,0,P
89,Jul 11,TOR,@,BAL,L,3-4,GF,2,0.1,0,0,0,0,0,P
92 (2),Jul 18,TOR,,BOS,W,6-2,,3,0.2,0,0,0,0,0,P
95 (2),Jul 22,TOR,,CLE,W,10-6,,6,1.1,0,0,0,0,0,P
100 (4),Jul 27,TOR,@,SEA,W,11-4,,5,1.0,0,0,0,0,0,P
103 (2),Jul 31,TOR,@,OAK,L,5-8,,3,1.0,0,0,0,0,0,P
107 (3),Aug 5,TOR,,NYY,L,4-8,,5,1.0,0,0,0,0,0,P
108,Aug 7,TOR,,BAL,L,5-7,,4,0.2,0,0,0,0,0,P
111 (2),Aug 10,TOR,@,NYY,W,5-4,,3,1.0,0,0,0,0,0,P
112,Aug 11,TOR,@,NYY,L,5-7,,4,0.1,0,1,0,1,0,P
116 (3),Aug 16,TOR,@,TBR,L,2-5,,3,1.0,0,0,0,0,0,P
