1,Apr 4,TEX,@,NYY,L,3-5,GF,6,2.0,0,1,0,1,0,P
3 (1),Apr 8,TEX,@,BAL,W,7-5,,3,0.2,0,1,1,2,0,P
4,Apr 9,TEX,@,BAL,L,5-7,,4,0.2,0,0,0,0,0,P
6 (1),Apr 11,TEX,,MIL,L,3-4,GF,5,1.1,1,0,0,1,0,P
7,Apr 13,TEX,,MIL,W,4-3,,3,1.0,0,0,0,0,0,P
10 (2),Apr 16,TEX,,BAL,L,4-6,,1,0.1,0,0,0,0,0,P
11,Apr 17,TEX,,BAL,L,5-6,,5,0.2,0,0,0,0,0,P
13 (1),Apr 20,TEX,@,TOR,L,3-4,,2,0.1,0,0,0,0,0,P
16 (2),Apr 24,TEX,,CLE,L,7-12,GF,4,1.0,0,0,0,0,0,P
17,Apr 26,TEX,,DET,W,6-1,,8,2.0,0,0,0,0,0,P
20 (2),Apr 29,TEX,@,CLE,L,4-5,,5,1.1,0,0,0,0,0,P
22 (1),May 1,TEX,@,CLE,W,5-4,,4,1.2,0,1,0,1,1,P
25 (2),May 4,TEX,@,DET,L,7-14,,2,0.1,0,1,0,1,0,P
29 (3),May 9,TEX,,CAL,W,11-3,,5,1.0,0,0,0,0,0,P
30,May 10 susp,TEX,,CAL,L,6-8,,6,1.1,0,0,0,0,0,P
32 (1),May 13,TEX,,CHW,W,11-7,GF,6,2.0,0,0,0,0,0,P
33,May 14,TEX,,CHW,W,5-2,GF,1,0.1,0,0,0,0,0,P
35 (1),May 16,TEX,@,OAK,W,11-7,,6,1.0,0,0,0,0,0,P
36,May 17,TEX,@,OAK,W,8-7,,4,1.0,0,0,0,0,0,P
38 (1),May 19,TEX,@,SEA,L,4-5,,7,1.1,0,0,0,0,0,P
44 (5),May 26,TEX,@,KCR,L,1-3,GF,9,2.0,0,0,0,0,0,P
45,May 27,TEX,,BOS,W,4-3,GF,5,1.1,0,0,0,0,0,P
46,May 28,TEX,,BOS,L,2-3,GF,8,1.2,0,1,0,1,0,P
48 (1),May 30,TEX,@,MIL,W,5-4,,2,0.1,0,0,0,0,0,P
51 (2),Jun 3,TEX,@,BOS,W,13-2,GF,3,1.0,0,0,0,0,0,P
53 (1),Jun 5,TEX,@,BOS,W,10-7,,6,0.2,0,0,0,0,0,P
55 (1),Jun 7,TEX,,NYY,W,10-9,GF,6,0.2,0,0,0,0,0,P
58 (2),Jun 10,TEX,,KCR,W,3-2,GF,2,1.0,0,0,0,0,0,P
61 (2),Jun 13,TEX,,SEA,W,17-9,GF,6,2.0,0,0,0,0,0,P
62,Jun 14,TEX,,SEA,L,6-7,,3,0.2,0,1,0,1,0,P
66 (3),Jun 18,TEX,,OAK,L,10-11,,5,0.1,0,0,0,0,0,P
68 (1),Jun 20,TEX,@,CHW,W,12-6,GF,3,1.0,0,0,0,0,0,P
69,Jun 21,TEX,@,CHW,L,4-5,,4,0.2,0,0,0,0,0,P
72 (2),Jun 25,TEX,@,CAL,L,7-12,GF,8,0.2,0,0,0,0,0,P
75 (2),Jun 29,TEX,@,MIN,W,11-10,,10,1.2,0,0,0,0,0,P
77 (1),Jul 1 (1),TEX,,DET,W,10-6,,17,4.1,0,1,0,1,0,P
83 (5),Jul 6,TEX,,CLE,L,4-13,,7,1.2,0,0,0,0,0,P
85 (1),Jul 8,TEX,@,DET,L,3-7,,5,0.2,0,0,0,0,0,P
89 (3),Jul 15,TEX,,TOR,L,5-7,,14,3.0,0,0,0,0,0,P
93 (3),Jul 19,TEX,@,CLE,L,3-12,GF,7,1.0,0,0,0,0,0,P
94,Jul 20,TEX,@,CLE,W,13-11,,5,1.1,0,0,0,0,0,P
97 (2),Jul 23,TEX,@,TOR,L,1-9,,5,1.1,1,0,0,1,0,P
100 (2),Jul 26,TEX,,MIN,W,8-7,,5,0.2,0,0,0,0,0,P
104 (3),Jul 30,TEX,,CAL,L,4-14,,12,2.2,0,1,0,1,0,P
106 (1),Aug 2,TEX,,CHW,L,2-6,GF,6,2.0,0,0,0,0,0,P
111 (4),Aug 7,TEX,@,OAK,L,3-8,,7,2.0,0,0,0,0,0,P
113 (1),Aug 9,TEX,,SEA,L,5-8,,6,1.1,0,0,0,0,0,P
