1,Mar 31,BAL,,BOS,W,2-1,CG,40,9.0,3,0,0,3,0,LF
3 (1),Apr 3,BAL,,BOS,L,3-4,CG,40,9.0,2,0,0,2,0,LF
5 (1),Apr 5,BAL,@,DET,L,6-7,CG,38,8.0,3,0,0,3,0,RF
8 (2),Apr 8,BAL,@,NYY,W,14-5,CG,42,9.0,1,0,0,1,0,LF
9,Apr 9,BAL,@,NYY,W,5-4,GS,32,8.0,1,0,0,1,0,LF
10,Apr 11,BAL,,TOR,L,0-2,CG,32,9.0,2,0,0,2,0,LF
14 (3),Apr 16,BAL,,TBR,W,3-0,CG,36,9.0,2,0,0,2,0,LF
16 (1),Apr 19,BAL,@,BOS,L,2-4,CG,31,8.0,3,0,0,3,0,LF
18 (1),Apr 21,BAL,@,BOS,W,7-6,CG,41,9.0,1,0,0,1,0,RF
19,Apr 22,BAL,@,TOR,L,3-9,CG,40,8.0,3,0,0,3,0,LF
23 (3),Apr 26,BAL,,KCR,W,3-2,CG,43,10.0,4,0,0,4,0,RF
24,Apr 27,BAL,,KCR,L,3-9,CG,44,9.0,2,0,0,2,0,RF
25,May 1 (1),BAL,,PIT,W,5-1,CG,41,9.0,3,0,0,3,0,LF
27 (1),May 2,BAL,@,MIN,W,3-0,CG,33,9.0,0,0,0,0,0,LF
29 (1),May 4,BAL,@,MIN,L,2-5,CG,40,8.0,1,0,0,1,0,LF
30,May 6,BAL,@,TBR,W,5-3,GS,33,8.0,1,0,0,1,0,LF
31,May 7,BAL,@,TBR,W,4-3,GS,29,7.0,0,0,0,0,0,LF
32,May 8,BAL,@,TBR,W,3-1,GS,35,8.0,0,0,0,0,0,LF
33,May 9,BAL,,HOU,W,4-3,GS,29,8.0,0,0,0,0,0,LF
34,May 10,BAL,,HOU,W,5-4,GS,32,8.0,0,0,0,0,0,LF
36 (1),May 12,BAL,,DET,L,1-4,CG,33,9.0,0,0,0,0,0,LF
37,May 13,BAL,,DET,L,1-4,GS,25,8.0,1,0,0,1,0,LF
41 (3),May 17,BAL,@,KCR,L,0-1,CG,31,8.0,5,0,0,5,0,LF
43 (1),May 20,BAL,@,PIT,W,9-2,CG,36,9.0,1,0,0,1,0,LF
44,May 21,BAL,@,PIT,L,8-9,CG,39,8.0,2,0,0,2,0,LF
46 (1),May 23,BAL,,CLE,W,8-4,CG,36,9.0,3,0,0,3,0,LF
47,May 24,BAL,,CLE,L,0-9,GS,40,8.0,2,0,0,2,0,LF RF
49 (1),May 26,BAL,@,MIL,W,7-6,CG,45,10.0,2,0,0,2,0,LF
