18,10,Apr 16,MIL,,NYY,W,7-4,GS-4,,99,4.0,4,4,0,5,5,1,1,0.00,23,86,47,18,8,5,7,3,0,0,46,,,0,0,0,17,0,0,0,0,0,1,1.21,-0.235,-1.76, 1t start tie, 4t 3 out d2
19,15,Apr 22,MIL,@,NYY,L,2-10,GS-5,L(0-1),5,4.1,9,8,5,3,1,0,0,5.40,26,88,45,11,4,10,12,8,1,0,17,,,0,1,0,22,3,0,0,0,1,2,1.21,-0.281,-4.95, 1b start a 1, 5b -2- 1 out d6
20,20,Apr 27,MIL,,CLE,W,6-5,GS-6,,4,6.0,6,4,4,5,2,1,1,5.65,27,116,66,24,4,11,8,2,1,0,41,,,0,0,0,21,1,0,0,0,0,0,.63,-0.136,-0.64, 1t start tie, 6t 3 out d2
21,24,May 2,MIL,@,SEA,L,1-8,GS-5,L(0-2),4,5.0,6,5,5,3,4,2,1,6.52,25,110,64,23,7,6,11,4,4,0,36,,,0,0,0,20,1,0,0,0,0,0,.75,-0.177,-2.28, 1b start tie, 5b 3 out d5
22,29,May 7,MIL,,OAK,W,1-0,GS-6,,4,6.0,2,0,0,4,7,0,1,4.97,24,106,61,21,8,4,8,2,4,0,71,,,0,0,0,19,0,0,0,1,0,0,1.17,0.372,3.36, 1t start tie, 6t 3 out tie
23,33,May 12,MIL,,SEA,W,9-8,GS-7,W(1-2),4,7.0,7,5,5,2,4,3,0,5.29,29,108,68,18,5,7,16,5,0,0,45,,,0,0,0,27,3,0,1,1,0,0,.67,-0.011,-1.08, 1t start tie, 7t 3 out a3
24,43,May 24,MIL,@,CHW,L,6-8,GS-6,,11,5.1,5,4,4,3,2,1,0,5.50,24,83,43,11,2,5,14,8,2,0,41,,,0,0,0,20,0,1,0,0,1,0,.96,-0.054,-0.36, 1b start tie, 6b 1-- 1 out a2
25,48,May 29,MIL,@,MIN,W,7-4,GS-6,W(2-2),4,6.0,5,3,3,2,4,0,0,5.36,25,96,60,12,8,7,12,5,6,0,52,,,0,0,0,22,1,1,0,0,1,0,1.03,0.076,0.33, 1b start tie, 6b 3 out a1
26,53,Jun 3,MIL,,BOS,W,6-4,GS-6,,4,6.0,9,4,4,0,3,0,0,5.44,27,96,62,14,6,14,10,7,0,0,41,,,0,0,0,27,3,0,0,0,0,0,.99,-0.140,-0.64, 1t start tie, 6t 3 out d2
27,58,Jun 8,MIL,@,NYY,L,1-3,GS-7,L(2-3),4,7.0,6,2,2,1,6,1,0,5.08,28,97,61,16,9,9,12,3,1,0,62,,,2,0,0,27,0,0,0,0,0,0,.91,0.123,1.88, 1b start tie, 7b 3 out d1
