139,2 (1),Apr 16 (1),KCR,,CHW,W,2-1,6-GF,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.74,-0.036,-0.49,P
140,6 (3),Apr 19 (2),KCR,@,OAK,L,1-3,GS-8,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.30,-0.087,-0.60,P
141,11 (4),Apr 26,KCR,,BAL,W,5-3,GS-6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.64,-0.114,-1.19,P
142,15 (3),May 2,KCR,@,DET,W,6-3,GS-5,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.000,.000,.000,.000,9,1.16,-0.055,-1.00,P
143,19 (3),May 7,KCR,@,BAL,L,4-5,GS-6,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000,.000,9,1.20,-0.046,-0.34,P
144,24 (4),May 14 (2),KCR,,DET,W,8-4,3-5,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
145,27 (2),May 17,KCR,,TEX,L,3-4,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
146,30 (2),May 21,KCR,,OAK,L,2-5,6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
147,36 (5),May 30,KCR,@,MIN,L,2-3,3-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.89,-0.021,-0.13,P
148,40 (3),Jun 3,KCR,,BOS,W,10-4,3-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.92,-0.043,-0.37,P
149,44 (3),Jun 7,KCR,,MIL,W,5-4,7-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
150,49 (4),Jun 13,KCR,@,BOS,W,4-2,8-9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.067,.067,.067,.133,4,.22,-0.006,-0.19,P
151,51 (1),Jun 15,KCR,@,BOS,W,13-9,6-GF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.059,.059,.059,.118,9,.13,-0.006,-0.48,P
152,60 (8),Jun 26,KCR,,CHW,W,4-1,CG,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.100,.100,.100,.200,9,.48,-0.030,-0.32,P
153,66 (5),Jul 2 (1),KCR,,TEX,L,5-7,GS-1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.100,.100,.100,.200,9,,,,P
154,76 (9),Jul 10,KCR,@,BAL,W,3-2,GS-8,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.136,.136,.182,.318,9,1.08,0.060,0.41,P
155,80 (3),Jul 14,KCR,@,DET,W,1-0,GS-8,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.125,.125,.167,.292,9,.80,-0.043,-0.41,P
156,84 (3),Jul 18 (2),KCR,,CLE,W,11-8,GS-1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.125,.125,.167,.292,9,,,,P
