1,Apr 6,KCR,@,CAL,L,2-3,,10,2.2,0,0,0,0,0,P
3 (1),Apr 8,KCR,@,CAL,W,6-5,GF,8,1.2,0,1,0,1,0,P
7 (3),Apr 13,KCR,@,CHW,W,12-5,GF,14,3.0,0,0,0,0,0,P
11 (3),Apr 18,KCR,,OAK,L,6-7,GF,17,3.2,0,0,0,0,0,P
14 (2),Apr 22 (1),KCR,,CHW,L,4-8,GF,29,7.1,0,1,1,2,1,P
18 (3),Apr 26,KCR,,MIL,L,3-7,GF,4,0.2,0,0,0,0,0,P
25 (6),May 5,KCR,@,MIL,W,9-7,GF,36,9.0,0,1,0,1,0,P
30 (4),May 11,KCR,,MIN,W,6-2,CG,37,9.0,1,1,0,2,0,P
34 (3),May 15,KCR,,CAL,L,0-3,GS,26,5.2,0,3,0,3,0,P
40 (5),May 21,KCR,@,OAK,L,0-5,GS,29,7.0,0,1,0,1,0,P
44 (3),May 25,KCR,@,MIN,W,5-4,,3,1.0,0,0,0,0,0,P
46 (1),May 27 (2),KCR,,BOS,L,2-7,,12,2.0,0,1,0,1,0,P
49 (2),May 30,KCR,,BAL,L,4-5,GF,18,5.0,1,2,0,3,0,P
53 (3),Jun 3,KCR,,CLE,W,5-4,GF,5,1.1,0,0,0,0,0,P
54,Jun 4,KCR,@,BOS,L,3-9,,18,3.2,0,0,0,0,0,P
58 (3),Jun 9,KCR,,NYY,L,4-6,GF,4,0.2,0,0,0,0,0,P
62 (3),Jun 14,KCR,@,BAL,L,3-8,,3,0.0,0,0,0,0,0,P
67 (4),Jun 18,KCR,,OAK,L,5-9,,27,5.2,0,1,0,1,0,P
73 (5),Jun 24 (2),KCR,,TEX,W,10-6,GF,16,3.2,0,0,0,0,0,P
78 (4),Jun 29,KCR,@,TEX,L,0-3,GF,14,3.0,1,1,0,2,0,P
82 (3),Jul 2,KCR,,MIN,L,2-5,,15,3.1,1,0,0,1,0,P
88 (5),Jul 8,KCR,,DET,L,0-3,GF,6,1.1,0,0,0,0,0,P
91 (2),Jul 11,KCR,@,MIL,L,1-8,,7,1.0,0,0,0,0,0,P
92,Jul 12,KCR,@,NYY,L,3-10,GF,11,3.0,1,0,0,1,0,P
98 (5),Jul 18,KCR,@,DET,L,4-14,,5,0.1,0,0,0,0,0,P
105 (6),Jul 28,KCR,,CAL,L,8-19,,7,0.1,0,0,0,0,0,P
113 (7),Aug 5,KCR,@,MIN,L,1-7,,17,4.0,0,0,0,0,0,P
115 (1),Aug 8,KCR,,BOS,L,4-9,,15,3.2,0,1,0,1,0,P
119 (3),Aug 12,KCR,,BAL,L,6-10,GF,6,2.0,0,2,0,2,0,P
122 (2),Aug 16,KCR,,CLE,L,4-10,,8,1.0,0,1,0,1,0,P
129 (6),Aug 24,KCR,@,BAL,L,0-6,GF,7,1.1,0,0,0,0,0,P
137 (7),Sep 3,KCR,,MIN,L,5-11,GF,3,0.1,0,0,0,0,0,P
