7 (6),Apr 12,CHW,@,CLE,W,2-1,CG,35,9.0,0,0,0,0,0,3B
8,Apr 13,CHW,@,CLE,W,10-4,CG,42,9.0,2,1,0,3,0,3B
9,Apr 14,CHW,@,MIN,W,2-1,CG,35,9.0,1,2,0,3,0,3B
10,Apr 15,CHW,@,MIN,L,0-6,GF,20,5.0,1,1,0,2,1,3B
11,Apr 16,CHW,@,MIN,W,3-1,CG,40,10.0,0,2,0,2,1,3B
12,Apr 17,CHW,@,NYY,L,4-7,CG,34,8.0,0,0,0,0,0,3B
13,Apr 18,CHW,@,NYY,W,4-1,CG,32,9.0,6,0,0,6,2,1B
19 (5),Apr 25,CHW,,KCR,W,10-5,CG,38,9.0,0,3,0,3,0,3B
21 (1),Apr 28,CHW,@,DET,W,7-3,CG,37,9.0,8,0,0,8,1,1B
24 (2),May 1,CHW,@,KCR,L,1-6,CG,36,8.0,0,3,0,3,2,3B
27 (2),May 4,CHW,@,KCR,W,8-3,CG,35,9.0,0,2,1,3,1,3B
28,May 5,CHW,@,BAL,L,2-4,GS,29,7.0,0,1,0,1,0,3B
32 (3),May 11,CHW,,MIN,L,6-7,GS,35,8.0,0,2,0,2,1,3B
35 (2),May 14,CHW,,SDP,W,9-3,GS,31,8.0,6,0,0,6,1,1B
40 (4),May 19,CHW,@,SEA,W,2-1,CG,33,10.0,0,0,0,0,0,3B
46 (5),May 26,CHW,,DET,W,8-2,CG,37,9.0,0,3,0,3,0,3B
48 (1),May 27 (2),CHW,,DET,L,3-4,CG,43,9.0,0,1,0,1,0,3B
50 (1),May 29,CHW,,BOS,W,5-4,CG,36,9.0,1,1,0,2,0,3B
53 (2),Jun 2,CHW,@,DET,L,5-15,GS,46,8.0,2,0,0,2,0,3B 1B
54,Jun 3,CHW,@,DET,L,1-10,CG,39,8.0,11,0,0,11,0,1B
63 (8),Jun 13,CHW,,BAL,W,6-1,CG,35,9.0,0,0,0,0,0,3B
67 (3),Jun 17,CHW,@,TOR,W,5-2,CG,32,9.0,0,3,0,3,0,3B
70 (2),Jun 21,CHW,@,MIN,L,2-4,CG,40,8.0,2,1,0,3,0,3B
74 (3),Jun 25,CHW,,OAK,L,3-5,CG,41,9.0,0,0,1,1,0,3B
75,Jun 26,CHW,,NYY,L,5-6,CG,42,9.0,4,1,1,6,1,1B
81 (5),Jul 2,CHW,,TEX,W,6-5,CG,41,9.0,1,3,0,4,0,3B
91 (9),Jul 18,CHW,,LAD,L,0-1,CG,39,9.0,1,0,0,1,0,3B
92,Jul 19,CHW,,LAD,L,1-9,CG,39,7.2,0,0,0,0,0,3B
93,Jul 21,CHW,@,KCR,L,6-7,CG,46,9.1,0,2,0,2,0,3B
95 (1),Jul 23,CHW,@,KCR,L,4-5,CG,34,8.0,7,1,0,8,2,1B
96,Jul 24,CHW,@,CHC,W,3-1,CG,40,9.0,0,1,0,1,0,3B
97,Jul 25,CHW,@,CHC,L,2-7,CG,44,8.0,0,0,0,0,0,3B
99 (1),Jul 27,CHW,,CHC,L,3-6,CG,37,9.0,1,3,0,4,0,3B
101 (1),Jul 29,CHW,,CLE,L,4-5,CG,46,9.0,0,3,0,3,0,3B
102,Jul 30,CHW,,CLE,W,3-1,CG,36,9.0,5,0,0,5,1,1B
103,Jul 31,CHW,,TOR,W,7-6,CG,37,9.0,1,3,0,4,1,3B
129 (25),Aug 27,CHW,,DET,W,7-1,CG,35,9.0,0,1,0,1,0,3B
130,Aug 29,CHW,@,MIN,L,4-6,CG,35,8.0,1,2,0,3,0,3B
132 (1),Aug 31,CHW,@,MIN,L,4-5,CG,41,8.2,6,0,0,6,0,1B
133,Sep 1,CHW,,TBR,L,1-3,GS,35,9.0,2,3,0,5,0,1B 3B
134,Sep 2,CHW,,TBR,W,5-4,CG,40,9.0,7,0,0,7,0,1B
135,Sep 3,CHW,,TBR,W,6-2,CG,33,9.0,7,1,0,8,0,1B
136,Sep 4,CHW,,CLE,L,3-5,CG,38,9.0,12,0,0,12,0,1B
137,Sep 5,CHW,,CLE,L,4-9,CG,45,9.0,7,1,0,8,1,1B
138,Sep 6,CHW,,CLE,L,1-5,CG,43,9.0,10,0,2,12,1,1B
140 (1),Sep 8,CHW,,SFG,L,2-9,CG,42,9.0,0,1,1,2,0,3B
146 (5),Sep 14,CHW,@,DET,W,17-7,CG,40,9.0,1,2,0,3,0,3B
154 (7),Sep 23,CHW,,KCR,L,2-8,CG,42,9.0,12,0,0,12,1,1B
155,Sep 24,CHW,,KCR,W,8-1,CG,33,9.0,7,0,1,8,0,1B
156,Sep 25,CHW,,LAA,W,4-2,CG,34,9.0,8,0,0,8,0,1B
162 (5),Oct 1,CHW,@,CLE,L,1-3,CG,35,8.0,14,2,0,16,0,1B
