339,1,Apr 1,SEA,@,OAK,L,0-5,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,8,.59,-0.048,-0.53,C
340,2,Apr 2,SEA,@,OAK,L,3-8,GS-8,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.36,-0.019,-0.29,C
341,3,Apr 3,SEA,@,OAK,W,7-6,CG(11),5,5,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.100,.100,.400,.500,8,1.28,0.229,-0.05,C
342,4,Apr 4,SEA,@,TEX,W,6-4,CG,4,4,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,.143,.143,.429,.571,9,1.59,0.254,0.64,C
343,5,Apr 5,SEA,@,TEX,L,4-8,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.111,.333,.444,9,1.00,-0.111,-1.32,C
344,8 (2),Apr 9,SEA,,ANA,L,1-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.091,.091,.273,.364,9,1.24,-0.131,-1.43,C
345,11 (2),Apr 12,SEA,,TEX,W,13-4,CG,5,4,0,2,2,0,0,3,1,0,1,0,0,0,0,0,0,0,.154,.185,.385,.570,9,.47,0.101,2.55,C
346,14 (2),Apr 15,SEA,,OAK,W,5-3,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.167,.194,.367,.560,9,1.72,-0.047,-0.36,C
347,15,Apr 16,SEA,,OAK,L,1-4,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.167,.194,.367,.560,9,,,,C
348,18 (2),Apr 19,SEA,@,ANA,L,6-7,CG,4,4,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.206,.229,.412,.640,8,.82,0.151,1.39,C
349,21 (2),Apr 23,SEA,,CLE,W,4-0,CG,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.216,.237,.405,.642,9,.58,-0.027,-0.41,C
350,24 (2),Apr 26,SEA,,DET,L,4-6,CG,4,3,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,.225,.244,.475,.719,9,2.07,0.119,1.02,C
351,26 (1),Apr 29,SEA,@,NYY,W,6-0,CG,4,4,2,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,.250,.267,.568,.835,9,.52,0.158,1.73,C
352,27,Apr 30,SEA,@,NYY,L,5-8,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.267,.568,.835,9,,,,C
353,29 (1),May 2,SEA,@,CHW,W,9-2,CG,5,4,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.271,.300,.583,.883,9,.41,0.033,0.99,C
354,31 (1),May 4,SEA,@,CHW,W,5-1,CG(6),2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.280,.308,.580,.888,9,1.05,-0.064,-0.44,C
355,33 (1),May 7,SEA,,NYY,L,2-7,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.280,.308,.580,.888,9,,,,C
356,35 (1),May 9,SEA,,CHW,W,6-3,CG,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.296,.321,.574,.896,9,.64,0.037,0.37,C
357,36,May 10,SEA,,CHW,L,3-4,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.281,.305,.544,.849,9,1.25,-0.146,-1.02,C
358,39 (2),May 14,SEA,@,CLE,L,2-7,CG,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.271,.306,.525,.832,9,.40,-0.027,-0.28,C
359,40,May 15,SEA,@,CLE,W,9-1,CG,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.254,.299,.492,.791,9,.21,-0.014,-0.57,C
360,43 (2),May 18,SEA,@,DET,W,6-2,CG,4,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.254,.296,.493,.788,8,.56,0.085,0.35,C
361,45 (1),May 21,SEA,,KCR,L,5-14,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.254,.296,.493,.788,9,,,,C
362,46,May 22,SEA,,KCR,W,5-1,CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.254,.293,.521,.814,9,.71,0.049,0.07,C
363,49 (2),May 25,SEA,,MIN,L,1-3,CG,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.257,.295,.514,.808,9,1.01,-0.051,-0.28,C
364,50,May 27,SEA,@,KCR,W,15-7,CG,6,5,2,2,0,0,1,4,1,0,3,0,0,0,0,0,0,0,.266,.310,.544,.854,8,.18,0.039,1.84,C
365,53 (2),May 30,SEA,@,MIN,W,6-0,CG,4,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.277,.318,.542,.860,9,.78,0.014,0.12,C
366,54,May 31,SEA,@,MIN,W,5-2,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.264,.304,.517,.822,9,.79,-0.085,-1.54,C
367,57 (2),Jun 4,SEA,@,PHI,W,7-2,CG,4,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.267,.302,.511,.813,8,.94,0.055,0.17,C
368,58,Jun 5,SEA,@,PHI,W,5-4,GS-7,3,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.269,.303,.505,.808,8,1.07,0.043,0.28,C
369,59,Jun 6,SEA,@,NYM,L,2-3,CG,4,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.260,.301,.490,.791,8,1.85,-0.137,-0.46,C
370,60,Jun 8 (1),SEA,@,NYM,W,13-1,CG,5,4,1,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,.270,.315,.500,.815,8,.26,0.007,1.45,C
371,63 (2),Jun 11,SEA,,MON,L,1-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.260,.304,.481,.784,9,1.16,-0.121,-0.84,C
372,65 (1),Jun 13,SEA,,ATL,W,2-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.262,.304,.477,.781,9,.31,-0.008,-0.15,C
373,68 (2),Jun 16,SEA,,ANA,W,6-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.252,.294,.459,.754,9,.85,-0.099,-1.04,C
374,72 (3),Jun 20,SEA,@,SDP,L,3-5,CG,4,4,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,.261,.301,.470,.770,6,1.05,0.116,1.71,C
375,73,Jun 21,SEA,@,SDP,W,4-2,CG,4,4,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,.277,.315,.504,.819,7,.64,0.092,0.93,C
376,74,Jun 22,SEA,@,SDP,L,1-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.268,.305,.488,.793,5,1.39,-0.136,-0.95,C
377,76 (1),Jun 25,SEA,@,ANA,L,3-6,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.268,.305,.488,.793,9,,,,C
378,77,Jun 26,SEA,@,ANA,W,10-6,CG,4,4,1,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,.276,.311,.496,.807,9,.87,0.103,1.11,C
379,78,Jun 27,SEA,,SDP,W,8-2,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.277,.317,.492,.809,9,.36,0.042,0.48,C
380,79,Jun 28,SEA,,SDP,L,0-6,CG,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.278,.317,.489,.806,9,.51,0.011,-0.14,C
381,82 (2),Jul 1,SEA,@,OAK,L,2-3,CG(11),4,4,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.285,.322,.496,.818,9,1.52,0.325,1.25,C
382,84 (1),Jul 3,SEA,@,OAK,L,2-5,CG,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.322,.493,.815,9,.62,-0.009,0.11,C
383,85,Jul 4,SEA,@,TEX,L,3-7,CG,4,2,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,.282,.320,.486,.806,6,.96,-0.020,-0.38,C
384,89 (3),Jul 9,SEA,,BAL,L,2-7,CG,4,4,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.295,.331,.500,.831,9,1.07,0.195,1.14,C
385,90,Jul 10,SEA,,BAL,L,1-4,CG,4,3,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,.302,.342,.503,.845,5,1.22,0.058,0.60,C
386,92 (1),Jul 12,SEA,,TBD,L,5-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.294,.333,.490,.824,7,1.35,-0.144,-0.83,C
