1,Apr 3,SFG,,CHC,L,3-5,CG,42,9.0,0,0,0,0,0,CF
2,Apr 5,SFG,,CHC,L,7-11,CG,48,9.0,1,0,0,1,0,CF
4 (1),Apr 7,SFG,,STL,W,11-0,CG,38,9.0,2,0,0,2,0,CF
5,Apr 8,SFG,,STL,L,3-9,CG,51,9.0,3,0,0,3,0,CF
6,Apr 10,SFG,,PIT,W,4-3,CG,40,9.0,3,0,0,3,0,CF
7,Apr 11,SFG,,PIT,W,2-1,CG,37,10.0,3,0,0,3,0,CF
8,Apr 13,SFG,@,LAD,L,0-2,CG,29,8.0,1,0,0,1,0,CF
10 (1),Apr 15,SFG,@,LAD,W,8-6,CG,48,11.0,11,0,1,12,0,CF
11,Apr 17,SFG,,SDP,L,1-2,GS,28,6.1,1,0,0,1,0,CF
12,Apr 19,SFG,,CIN,W,3-1,CG,34,9.0,3,0,0,3,0,CF
13,Apr 20,SFG,,CIN,W,6-4,CG,43,9.0,2,0,0,2,0,CF
14,Apr 21,SFG,,CIN,L,4-5,CG,40,9.0,7,0,0,7,0,CF
15,Apr 22,SFG,,CIN,W,9-5,GF,3,1.0,0,0,0,0,0,PR RF
16,Apr 23,SFG,@,SDP,L,2-8,CG,41,8.0,1,0,0,1,0,RF
17,Apr 24,SFG,@,SDP,L,1-6,CG,36,8.0,2,0,0,2,0,CF
19 (1),Apr 27,SFG,@,CIN,L,3-9,GS,27,7.0,2,0,0,2,0,RF
20,Apr 28,SFG,@,CIN,L,6-7,GS,38,8.1,5,1,0,6,0,CF
22 (1),Apr 29 (2),SFG,@,CIN,L,3-7,CG,39,8.0,2,0,0,2,0,RF
23,Apr 30,SFG,,LAD,L,0-1,CG,35,9.0,3,0,0,3,0,CF
25 (1),May 2,SFG,,LAD,W,4-3,GS,30,8.0,4,0,0,4,0,RF
26,May 4,SFG,@,STL,W,2-0,CG,33,9.0,4,0,0,4,0,CF
27,May 5,SFG,@,STL,W,7-0,CG,22,5.0,1,0,0,1,0,CF
28,May 6,SFG,@,STL,W,3-2,CG,35,9.0,2,0,0,2,0,CF
29,May 7,SFG,@,CHC,L,7-10,CG,42,8.0,3,0,0,3,0,CF
30,May 8,SFG,@,CHC,L,11-12,CG,46,8.1,0,0,0,0,0,CF
31,May 10,SFG,@,PIT,L,2-4,CG,31,8.0,3,2,0,5,1,CF
32,May 11,SFG,,MON,L,5-7,CG,40,9.0,6,0,0,6,0,CF
33,May 12,SFG,,MON,W,8-7,CG,46,9.0,4,0,0,4,0,CF
34,May 13,SFG,,MON,W,4-3,CG,37,9.0,2,0,1,3,0,CF
35,May 15,SFG,,NYM,L,6-7,CG,49,11.0,0,0,0,0,0,CF
36,May 16,SFG,,NYM,W,4-3,CG,36,9.0,4,0,0,4,0,CF
37,May 18,SFG,,PHI,L,0-1,CG,37,9.0,3,0,0,3,0,CF
38,May 19,SFG,,PHI,L,2-6,CG,43,9.0,3,0,0,3,0,CF
39,May 20,SFG,,PHI,L,4-7,CG,40,9.0,1,0,0,1,0,CF
40,May 22,SFG,@,NYM,W,5-4,CG,39,9.0,6,0,1,7,0,CF
41,May 24,SFG,@,NYM,W,3-2,CG,33,9.0,3,0,0,3,0,CF
42,May 25,SFG,@,MON,L,2-3,CG,31,8.0,1,0,0,1,0,CF
43,May 26,SFG,@,MON,L,2-4,CG,39,8.0,1,0,0,1,0,CF
44,May 27,SFG,@,MON,L,2-6,CG,38,8.0,3,0,0,3,0,CF
45,May 30,SFG,@,PHI,L,2-3,CG,38,8.2,5,0,0,5,0,CF
46,Jun 1,SFG,,SDP,W,11-7,CG,45,9.0,0,0,0,0,0,CF
47,Jun 2,SFG,,SDP,L,2-3,CG,44,10.0,5,0,0,5,0,CF
48,Jun 3 (1),SFG,,SDP,L,5-7,CG,41,9.0,0,0,0,0,0,CF
49,Jun 3 (2),SFG,,SDP,L,6-7,CG,40,9.0,1,0,0,1,0,CF
50,Jun 4,SFG,,ATL,L,1-2,CG,36,9.0,1,0,0,1,0,CF
51,Jun 5,SFG,,ATL,L,3-8,CG,40,9.0,2,0,0,2,0,CF
52,Jun 6,SFG,,ATL,L,4-5,CG,51,11.0,1,0,0,1,0,CF
