298,1,Apr 6,BAL,,MIN,W,4-2,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,8,.24,-0.019,-0.45,1B
299,3 (1),Apr 8,BAL,,MIN,W,3-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,.333,8,.54,-0.023,-0.47,1B
300,4,Apr 9,BAL,,NYY,L,2-6,CG,4,4,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.300,.300,.400,.700,8,.91,0.044,0.78,1B
301,5,Apr 10,BAL,,NYY,L,4-5,CG(12),5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.267,.267,.333,.600,8,1.70,-0.067,-0.74,1B
302,7 (1),Apr 13,BAL,@,TOR,W,7-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.211,.211,.263,.474,8,.99,-0.102,-0.87,1B
303,8,Apr 14,BAL,@,TOR,W,6-4,GS-9,4,4,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.304,.304,.478,.783,8,1.24,0.302,2.09,1B
304,9,Apr 15,BAL,@,TOR,L,2-9,CG,4,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,.346,.370,.577,.947,6,.69,0.063,1.16,1B
305,10,Apr 16,BAL,@,CHW,W,10-4,CG(10),5,5,1,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.387,.406,.613,1.019,8,1.42,0.048,0.20,1B
306,11,Apr 17,BAL,@,CHW,W,3-2,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.353,.371,.559,.930,8,1.15,-0.092,-0.74,1B
307,12,Apr 18,BAL,@,CHW,L,1-8,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.351,.368,.541,.909,8,.43,-0.042,-0.74,1B
308,13,Apr 19,BAL,@,CHW,W,5-3,CG,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.341,.357,.512,.869,7,.69,-0.048,-0.52,1B
309,14,Apr 20,BAL,@,LAA,L,3-6,CG,4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.333,.348,.511,.859,8,.89,-0.071,-0.38,1B
310,15,Apr 21,BAL,@,LAA,L,3-6,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.313,.327,.479,.806,8,.51,-0.038,-0.39,1B
311,16,Apr 22,BAL,@,LAA,W,3-2,CG(10),4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,.294,.321,.451,.772,5,1.55,-0.129,-0.84,1B
312,17,Apr 24,BAL,,TOR,W,2-1,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.304,.426,.729,6,.71,-0.054,-0.64,1B
313,18,Apr 25,BAL,,TOR,W,3-0,CG,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.281,.305,.474,.779,6,.53,0.080,0.61,1B
314,19,Apr 26,BAL,,TOR,W,5-2,CG,4,3,2,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,.283,.317,.517,.834,6,1.10,0.073,1.54,DH
315,20,Apr 27,BAL,,OAK,L,2-5,CG,4,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.286,.328,.524,.852,6,1.19,0.048,0.50,1B
316,21,Apr 28,BAL,,OAK,W,10-1,CG,4,4,2,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,.313,.352,.582,.934,6,.45,0.057,2.61,1B
317,22,Apr 29,BAL,,OAK,W,5-2,CG,4,2,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,.319,.373,.580,.953,6,1.63,0.017,0.24,DH
318,23,Apr 30,BAL,@,NYY,L,1-2,CG,3,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.310,.359,.563,.922,6,1.82,-0.194,-1.30,1B
319,24,May 1,BAL,@,NYY,W,7-1,CG,4,4,3,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.333,.378,.627,1.005,6,.48,0.111,1.67,1B
320,25,May 2,BAL,@,NYY,W,5-0,CG,5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.316,.368,.595,.963,6,1.09,-0.037,-1.25,1B
321,26,May 4,BAL,@,BOS,W,6-4,CG(13),6,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.318,.366,.576,.942,7,1.88,0.196,0.46,1B
322,27,May 5,BAL,@,BOS,W,8-2,CG,4,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.326,.371,.573,.944,6,.57,0.107,0.86,1B
323,28,May 6,BAL,@,BOS,W,9-6,CG(17),8,8,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,.299,.343,.526,.869,6,1.86,-0.551,-2.77,DH P
324,29,May 7,BAL,,TEX,L,3-14,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.290,.333,.510,.843,8,.44,-0.034,-0.58,1B
325,30,May 8,BAL,,TEX,L,3-10,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.288,.330,.500,.830,6,.70,-0.067,-0.52,1B
326,31,May 10 (1),BAL,,TEX,W,6-5,CG,3,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.283,.330,.491,.821,7,.36,-0.025,-0.09,DH
327,33 (1),May 11,BAL,,TBR,W,4-3,CG,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.284,.331,.486,.817,7,1.01,-0.048,-0.56,1B
328,35 (1),May 13,BAL,,TBR,L,8-9,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.283,.328,.478,.806,7,.91,-0.009,-0.05,1B
329,36,May 14,BAL,,NYY,L,5-8,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.274,.317,.462,.779,7,1.36,-0.203,-1.78,1B
330,38 (1),May 16,BAL,@,KCR,W,4-3,GS-9,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.281,.323,.463,.786,8,1.56,0.043,-0.03,1B
331,39,May 17,BAL,@,KCR,W,5-3,CG,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.296,.336,.472,.808,6,1.21,0.271,1.55,1B
332,40,May 18,BAL,@,WSN,W,2-1,CG(11),4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.287,.326,.457,.783,7,1.43,-0.080,-0.68,1B
333,42 (1),May 20,BAL,@,WSN,L,3-9,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.293,.331,.459,.790,6,.93,0.052,1.42,1B
334,43,May 21,BAL,,BOS,L,6-8,CG,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.299,.336,.482,.817,6,1.77,0.089,1.19,1B
335,44,May 22,BAL,,BOS,W,4-1,GS-7,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.336,.479,.814,7,1.01,0.003,0.10,DH
336,45,May 23,BAL,,BOS,L,5-6,CG,4,3,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,.294,.327,.469,.795,5,1.99,-0.158,-0.96,1B
337,46,May 25,BAL,,KCR,W,8-2,CG,4,4,1,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.299,.331,.490,.821,7,.82,-0.055,1.80,DH
338,47,May 26,BAL,,KCR,L,3-4,CG,4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.305,.335,.510,.845,6,.98,0.141,0.65,1B
339,48,May 27,BAL,,KCR,L,2-4,CG,4,3,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,.305,.339,.513,.852,6,1.64,-0.017,-0.41,1B
340,49,May 28,BAL,@,TOR,L,2-6,CG,4,3,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,.306,.343,.510,.853,7,.88,-0.069,-1.13,1B
341,50,May 29,BAL,@,TOR,L,6-8,CG,5,5,1,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.315,.351,.531,.881,7,1.39,-0.013,1.94,DH
342,51,May 30,BAL,@,TOR,L,1-4,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.309,.348,.521,.870,3,.72,-0.048,-0.50,DH
343,52,Jun 1,BAL,@,TBR,L,0-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.302,.341,.509,.850,7,.36,-0.039,-1.41,DH
344,53,Jun 2,BAL,@,TBR,W,2-1,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.295,.333,.497,.830,3,.74,-0.077,-0.66,DH
345,56 (2),Jun 6,BAL,@,BOS,W,2-1,CG,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.295,.333,.494,.828,5,.69,-0.026,-0.20,DH
346,57,Jun 7,BAL,@,BOS,L,0-7,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.294,.332,.494,.826,5,.26,0.030,-0.22,DH
347,58,Jun 8,BAL,,PHI,L,6-9,CG,4,4,2,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.299,.335,.511,.846,5,.63,0.024,1.24,DH
348,59,Jun 9,BAL,,PHI,W,6-4,CG(12),6,4,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,.298,.340,.505,.845,3,1.59,0.068,0.45,DH
349,61 (1),Jun 12,BAL,,PIT,W,8-6,CG,5,5,1,2,0,0,1,2,0,0,0,0,0,0,0,1,0,0,.301,.341,.518,.859,3,.57,-0.012,0.95,DH
350,62,Jun 13,BAL,,PIT,W,7-1,CG,4,4,1,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,.305,.344,.538,.882,3,.51,0.112,2.24,DH
351,63,Jun 14,BAL,,PIT,W,12-6,CG,5,4,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.308,.350,.542,.893,3,.36,0.065,1.07,DH
352,64,Jun 15,BAL,@,ATL,L,2-4,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.304,.348,.534,.883,3,.94,-0.036,-0.38,RF
353,65,Jun 16,BAL,@,ATL,W,5-0,GS-8,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.300,.347,.527,.873,3,.35,-0.007,-0.44,RF
354,66,Jun 17,BAL,@,ATL,W,2-0,GS-9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.294,.341,.517,.857,3,.54,-0.055,-0.84,RF
