137 (136),Sep 2,HOU,@,STL,L,1-4,CG,35,8.0,8,0,0,8,0,1B
141 (3),Sep 6,HOU,@,SFG,W,14-2,GF,18,4.0,6,1,0,7,0,1B
147 (5),Sep 14,HOU,,SDP,L,2-4,CG,36,9.0,15,1,0,16,0,1B
148,Sep 15,HOU,,SDP,W,3-2,CG,36,9.0,9,1,0,10,1,1B
149,Sep 16,HOU,,SDP,W,10-9,CG,44,9.0,11,0,0,11,1,1B
150,Sep 17,HOU,,SFG,W,5-3,CG,34,9.0,12,1,0,13,1,1B
151,Sep 18,HOU,,SFG,W,5-4,CG,42,10.0,11,0,0,11,1,1B
152,Sep 19,HOU,,LAD,L,1-3,CG,31,9.0,11,1,0,12,2,1B
153,Sep 20,HOU,,LAD,L,2-6,CG,41,9.0,12,0,2,14,0,1B
154,Sep 21,HOU,,CIN,L,2-5,CG,41,9.0,11,2,0,13,0,1B
155,Sep 22,HOU,,CIN,L,1-2,CG,48,13.0,9,4,0,13,1,1B
156,Sep 23,HOU,,CIN,W,2-1,GS,28,8.0,9,0,0,9,1,1B
158 (1),Sep 25,HOU,@,LAD,W,12-6,CG,37,9.0,10,0,0,10,4,1B
159,Sep 26,HOU,@,LAD,W,3-1,CG,35,9.0,10,3,0,13,0,1B
160,Sep 28,HOU,@,CIN,W,6-3,GS,25,5.0,3,0,0,3,1,1B
161,Sep 29,HOU,@,CIN,L,1-4,CG,37,8.0,6,0,0,6,0,1B
