3 (2),Apr 6,MIN,,BAL,W,9-4,GF,8,1.2,0,0,0,0,0,P
5 (1),Apr 8,MIN,,BAL,W,7-3,GF,8,2.0,0,0,0,0,0,P
7 (1),Apr 12,MIN,@,NYY,W,3-0,GF,1,0.2,0,0,0,0,0,P
8,Apr 13,MIN,,SEA,W,4-3,GF,7,1.1,0,0,0,0,0,P
9,Apr 14,MIN,,SEA,W,4-3,GF,3,1.0,0,0,0,0,0,P
14 (4),Apr 20,MIN,@,BAL,L,2-4,GF,10,2.1,0,0,0,0,0,P
17 (2),Apr 24 (1),MIN,@,DET,L,5-6,GF,10,1.2,0,1,0,1,0,P
23 (5),Apr 29 (1),MIN,@,OAK,W,5-2,GF,3,1.0,0,0,0,0,0,P
25 (1),May 1,MIN,@,SEA,L,8-11,GF,7,1.0,0,0,0,0,0,P
26,May 2,MIN,@,SEA,W,8-6,GF,8,2.2,0,0,0,0,0,P
28 (1),May 4,MIN,,OAK,W,3-1,GF,6,1.1,0,1,0,1,0,P
30 (1),May 6,MIN,,OAK,W,4-3,GF,8,2.0,0,0,0,0,0,P
35 (4),May 12,MIN,@,MIL,W,4-2,GF,2,0.1,0,0,0,0,0,P
37 (1),May 15,MIN,,TOR,L,2-5,GF,14,1.2,0,0,0,0,0,P
38,May 16,MIN,,TOR,L,7-8,,5,0.2,0,0,0,0,0,P
42 (3),May 21,MIN,@,TOR,L,2-3,GF,6,1.1,0,0,0,0,0,P
44 (1),May 23,MIN,@,TOR,L,1-4,GF,1,0.1,0,0,0,0,0,P
45,May 25,MIN,,MIL,W,7-4,GF,3,1.0,0,0,0,0,0,P
49 (3),May 31,MIN,,KCR,W,7-2,GF,4,1.1,0,0,0,0,0,P
51 (1),Jun 2,MIN,,KCR,L,6-7,GF,3,0.1,0,0,0,0,0,P
53 (1),Jun 4,MIN,,TEX,W,6-2,GF,4,1.1,0,0,0,0,0,P
56 (2),Jun 7,MIN,,TEX,W,5-4,GF,10,3.0,1,0,0,1,0,P
59 (2),Jun 10,MIN,@,CHW,W,12-5,GF,8,2.1,0,0,0,0,0,P
62 (2),Jun 14,MIN,@,TEX,W,3-2,GF,4,1.1,0,0,0,0,0,P
65 (2),Jun 17,MIN,@,KCR,W,3-1,GF,6,2.0,0,0,0,0,0,P
67 (1),Jun 20,MIN,,CLE,W,8-2,GF,5,1.2,1,0,0,1,0,P
69 (1),Jun 22,MIN,,CHW,L,6-8,GF,13,2.1,0,0,0,0,0,P
70,Jun 23,MIN,,CHW,W,4-3,GF,4,1.0,0,0,0,0,0,P
72 (1),Jun 26,MIN,@,CLE,W,8-3,GF,6,1.1,0,0,0,0,0,P
73,Jun 27,MIN,@,CLE,L,4-6,GF,13,2.2,0,1,0,1,0,P
74,Jun 29 (1),MIN,@,DET,W,5-3,GF,2,0.1,0,0,0,0,0,P
76 (1),Jun 30,MIN,@,DET,L,3-4,GF,4,1.0,0,0,0,0,0,P
80 (3),Jul 4,MIN,,BAL,L,4-6,GF,7,2.0,0,0,0,0,0,P
81,Jul 5,MIN,,NYY,W,5-4,GF,3,0.2,1,0,0,1,0,P
84 (2),Jul 8,MIN,,NYY,W,4-3,GF,10,2.1,0,0,0,0,0,P
85,Jul 12,MIN,,DET,W,4-2,GF,6,1.0,0,0,0,0,0,P
87 (1),Jul 14,MIN,,DET,L,5-6,,15,3.0,0,0,0,0,0,P
92 (4),Jul 19,MIN,@,NYY,W,2-1,GF,2,0.2,0,0,0,0,0,P
93,Jul 20,MIN,@,NYY,L,3-4,GF,6,0.2,0,0,0,0,0,P
98 (4),Jul 25,MIN,,OAK,L,0-1,GF,2,0.2,0,0,0,0,0,P
99,Jul 27,MIN,,CAL,W,2-0,GF,4,1.0,0,1,0,1,0,P
101 (1),Jul 29,MIN,,CAL,W,6-5,,4,0.1,0,0,0,0,0,P
106 (4),Aug 3,MIN,@,CAL,W,4-2,GF,3,0.2,0,0,0,0,0,P
108 (1),Aug 5,MIN,@,CAL,W,4-2,GF,4,1.0,0,0,0,0,0,P
109,Aug 6,MIN,@,OAK,W,7-4,GF,6,1.1,0,0,0,0,0,P
112 (2),Aug 9,MIN,@,SEA,L,5-6,GF,6,1.0,0,0,0,0,0,P
114 (1),Aug 11,MIN,@,SEA,L,4-5,,6,1.2,0,0,0,0,0,P
117 (2),Aug 14,MIN,,MIL,W,3-2,GF,1,0.1,0,0,0,0,0,P
119 (1),Aug 16,MIN,@,BOS,L,5-7,,6,1.0,0,0,0,0,0,P
