13,1,Apr 13,STL,,CHC,L,4-13,6-6,,99,0.2,3,3,3,2,1,0,0,40.50,7,1,0,0,0,3,,1,1,1,0,0,5,0,0,0,0,0,0,.18,-0.042,-3.47, 6t 1-- 1 out d5, 6t 3 out d9
14,3,Apr 17,STL,@,CHC,L,13-23,5-GF(8),,3,3.1,3,1,0,2,0,0,0,6.75,16,5,6,0,0,3,,2,2,0,0,0,14,2,0,0,0,0,2,.00,-0.001,-1.01, 5b 12- 2 out d10, 8b end d12
15,6,Apr 20,STL,,CIN,L,6-13,2-5,,2,3.1,4,2,2,1,2,2,0,6.14,14,6,1,0,0,4,,2,0,0,0,0,13,0,0,0,1,0,0,.58,-0.038,-0.03, 2t 12- 2 out d4, 5t 3 out d4
16,8,Apr 23,STL,,MLN,L,5-7,13-14,L(0-1),2,1.1,4,3,3,0,0,1,0,8.31,9,4,1,0,0,4,,0,0,0,0,0,9,0,0,0,0,0,1,1.66,-0.377,-0.90,13t --- 0 out tie,14t 12- 1 out tie
17,16,May 2(2),STL,,NYG,L,7-9,8-GF,,8,2.0,2,1,1,0,2,0,1,7.59,9,0,4,0,0,2,,0,0,0,0,0,8,0,0,0,0,0,0,.74,-0.018,0.02, 8t --- 0 out d1, 9t end d 2
18,18,May 4,STL,,PHI,L,10-14,10-11,L(0-2),1,1.1,3,3,3,1,0,0,0,9.00,8,3,1,0,0,3,,0,0,0,0,0,6,0,1,0,0,1,0,2.82,-0.248,-1.18,10t --- 0 out tie,11t 1-3 1 out d1
19,19,May 5,STL,,PHI,L,3-10,9-GF,,0,0.2,0,0,0,0,0,0,0,8.53,2,0,2,0,0,0,,3,1,0,0,0,1,0,0,0,0,1,0,-.01,0.000,0.59, 9t 123 1 out d6, 9t end d 7
20,23,May 9(2),STL,@,CIN,L,5-6,4-GF(8),,3,5.0,1,1,1,3,4,1,0,6.62,19,5,6,0,0,1,,0,0,0,0,0,15,0,0,0,0,0,0,.37,0.048,1.60, 4b --- 0 out d5, 8b end d 1
21,25,May 13,STL,@,BRO,L,3-10,7-GF(8),,3,2.0,3,2,2,1,0,0,0,6.86,10,4,4,2,0,1,,0,0,0,0,0,8,2,0,0,0,1,0,.02,-0.003,-0.94, 7b --- 0 out d7, 8b end d 7
22,29,May 16 susp,STL,@,PHI,L,4-8,6-7,,2,2.0,2,0,0,0,1,0,0,6.23,8,1,5,2,0,1,,0,0,0,0,0,8,0,0,0,0,0,0,.30,0.031,1.02, 6b --- 0 out d3, 7b 3 out d3
23,36,May 23,STL,,CIN,L,6-13,4-7,,6,3.2,1,1,1,2,1,0,1,5.68,16,3,8,0,0,1,,2,0,0,0,0,11,1,0,0,0,0,1,.96,0.090,1.45, 4t 12- 1 out d2, 7t 3 out d3
24,37,May 24,STL,,CHC,L,2-6,9-GF,,0,1.0,0,0,0,1,0,0,0,5.47,4,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.004,0.51, 9t --- 0 out d4, 9t end d 4
25,39,May 26,STL,,CHC,L,5-15,4-4,,1,0.1,4,5,5,2,0,0,0,7.09,7,1,1,0,1,3,,1,1,0,0,0,5,0,1,2,0,0,0,.98,-0.228,-6.05, 4t 1-- 0 out d2, 4t --3 1 out d8
26,44,May 31,STL,@,CHC,L,4-14,4-GF(7),,4,4.0,8,9,9,2,1,3,1,8.80,23,8,3,1,0,8,,0,0,0,0,0,19,1,2,1,0,1,0,.21,-0.303,-6.94, 4b --- 0 out d1, 7b end d10
27,52,Jun 10,STL,,BRO,L,4-7,9-GF,,9,1.0,1,0,0,0,0,0,0,8.53,4,0,4,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.11,0.008,0.51, 9t --- 0 out d3, 9t end d 3
28,61,Jun 20,STL,@,NYG,L,6-7,6-6,L(0-3),9,0.0,2,1,1,1,0,1,0,8.81,3,0,0,0,0,2,,0,0,0,0,0,2,0,0,0,0,0,0,.91,-0.231,-1.66, 6b --- 1 out tie, 6b 12- 1 out d1
29,67,Jun 27,STL,@,BRO,L,6-8,7-7,,6,0.2,2,0,0,0,2,0,0,8.63,4,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,0.002,0.28, 7b --- 1 out d5, 7b 3 out d5
30,71,Jul 2,STL,@,CHC,L,6-7,4-7,,4,4.0,5,1,1,4,1,0,0,7.93,20,5,5,1,3,5,,0,0,0,0,0,15,2,0,3,1,0,0,.63,0.029,1.06, 4b --- 0 out d6, 7b 3 out d3
31,75,Jul 5(1),STL,,MLN,L,6-8,3-8,,2,6.0,4,1,1,2,1,1,0,7.02,23,10,6,1,2,4,,0,0,0,0,0,21,0,0,0,2,0,1,.21,0.033,2.06, 3t --- 0 out d5, 8t 3 out d5
32,81,Jul 10,STL,,CHC,W,2-1,,W(1-3),4,2.0,1,0,0,1,0,0,0,6.70,8,,,,,,,,,,,,6,,,,,0,,,,,,
33,83,Jul 15,STL,,NYG,L,0-4,9-GF,,4,1.0,0,0,0,0,0,0,0,6.55,3,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.004,0.51, 9t --- 0 out d4, 9t end d 4
34,85,Jul 17,STL,,NYG,L,9-10,1-3,,1,1.2,4,7,3,0,0,0,1,6.89,11,4,2,0,1,4,,1,0,0,0,0,10,1,0,0,1,0,2,.81,-0.186,-5.31, 1t 1-- 1 out d2, 3t 1-3 0 out d7
35,86,Jul 18(1),STL,,PHI,L,10-11,,,0,3.0,3,2,2,0,0,1,0,6.84,12,,,,,,,,,,,,12,,,,,0,,,,,,
36,90,Jul 21,STL,,PIT,W,13-12,6-6,,2,0.0,1,1,0,0,0,0,0,6.84,2,1,0,0,0,1,,3,2,0,0,0,2,0,0,0,0,0,1,3.49,-0.259,-2.00, 6t 123 0 out a3, 6t 123 0 out a1
37,93,Jul 24,STL,,BRO,L,6-7,9-9,BS(1),2,0.1,0,0,0,1,0,0,0,6.79,2,1,0,0,0,0,,2,1,0,0,0,0,0,0,0,0,0,0,5.11,-0.241,-0.69, 9t 12- 0 out a1, 9t 1-3 1 out tie
38,101,Aug 1,STL,@,PHI,L,3-8,2-4,,7,2.2,4,3,3,2,1,0,0,6.96,14,5,3,1,0,3,,1,0,0,0,0,11,1,0,0,0,1,0,.44,-0.057,-1.29, 2b -2- 1 out d4, 4b 3 out d6
39,106,Aug 6(2),STL,@,PIT,L,5-6,,,4,1.0,2,0,0,1,0,0,0,6.83,6,,,,,,,,,,,,5,,,,,0,,,,,,
40,108,Aug 8(1),STL,@,PIT,L,4-12,4-6,,1,3.0,4,2,2,1,1,0,0,6.79,14,6,2,0,0,4,,0,0,0,0,0,12,1,0,0,0,0,0,.13,0.000,-0.50, 4b --- 0 out d5, 6b 3 out d7
41,115,Aug 15,STL,@,CIN,W,14-12,3-9,W(2-3),6,6.1,6,3,3,1,5,3,0,6.54,26,7,7,0,0,6,,1,0,1,0,0,25,0,0,0,0,0,0,.82,0.266,0.99, 3b -2- 0 out d6, 9b --- 1 out a3
42,119,Aug 20,STL,,CIN,L,2-3,3-7,,4,4.1,5,1,1,4,1,0,0,6.25,18,5,3,0,0,5,,2,0,0,0,0,14,1,1,0,3,0,0,.79,0.088,1.48, 3t 12- 2 out d2, 7t 3 out d1
43,121,Aug 22,STL,,CIN,W,9-7,8-GF,S(1),1,1.2,0,0,0,0,0,0,0,6.10,5,4,1,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,1.83,0.227,1.43, 8t 12- 1 out a2, 9t end a 2
44,128,Aug 29(2),STL,,NYG,L,4-7,6-7,,6,1.1,3,3,3,0,1,1,0,6.37,8,0,4,0,0,3,,3,0,0,0,0,8,1,0,0,0,0,1,.90,-0.159,-1.71, 6t 123 2 out d1, 7t 3 out d4
45,138,Sep 9,STL,@,BRO,L,1-10,8-GF(8),,10,1.0,0,0,0,1,0,0,0,6.28,3,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.00,0.000,0.53, 8b --- 0 out d9, 8b end d 9
