1,Apr 7,BAL,,TEX,L,1-2,CG,39,10.0,0,5,0,5,0,3B
2,Apr 9,BAL,,TEX,L,1-5,CG,40,9.0,1,3,0,4,0,3B
3,Apr 10,BAL,,TEX,L,2-3,CG,36,9.0,2,5,1,8,1,3B
4,Apr 12,BAL,@,MIL,W,1-0,CG,28,9.0,0,4,0,4,1,3B
5,Apr 14,BAL,@,MIL,L,0-5,CG,32,8.0,1,1,0,2,1,3B
6,Apr 17 (1),BAL,@,TEX,W,5-0,CG,30,9.0,0,0,0,0,0,3B
7,Apr 17 (2),BAL,@,TEX,W,6-1,CG,35,9.0,2,1,1,4,0,3B
8,Apr 18,BAL,,CLE,W,4-3,CG,35,9.0,1,5,0,6,0,3B
9,Apr 19,BAL,,CLE,W,6-5,CG,42,10.0,1,5,0,6,0,3B
10,Apr 20,BAL,,CLE,W,7-2,CG,36,9.0,1,2,0,3,0,3B
11,Apr 24 (1),BAL,@,DET,W,3-1,CG,32,9.0,2,1,0,3,0,3B
13 (1),Apr 25,BAL,,NYY,L,6-9,CG,46,9.0,1,2,0,3,0,3B
14,Apr 26,BAL,,NYY,W,6-2,CG,37,9.0,1,3,0,4,1,3B
15,Apr 27,BAL,,NYY,L,3-4,CG,42,9.0,0,1,0,1,0,3B
16,Apr 29,BAL,,CAL,L,2-3,CG,44,11.0,0,3,0,3,0,3B
17,Apr 30,BAL,,CAL,W,4-3,CG,39,10.0,0,5,1,6,1,3B
18,May 1,BAL,,CAL,W,3-2,CG,39,10.0,0,4,0,4,0,3B
19,May 2,BAL,,OAK,L,0-2,CG,38,9.0,1,2,1,4,0,3B
20,May 4,BAL,,OAK,W,9-2,CG,35,9.0,1,0,0,1,0,3B
21,May 6,BAL,,SEA,W,4-1,CG,31,9.0,1,1,0,2,0,3B
22,May 7,BAL,,SEA,W,4-2,CG,39,9.0,1,2,0,3,1,3B
23,May 8,BAL,,SEA,W,6-4,CG,37,9.0,2,1,0,3,1,3B
24,May 11,BAL,@,CAL,L,0-6,CG,33,8.0,1,1,0,2,0,3B
25,May 12,BAL,@,CAL,L,5-7,CG,35,8.0,1,3,0,4,1,3B
26,May 13,BAL,@,OAK,W,5-1,CG,32,9.0,1,1,1,3,0,3B
27,May 14,BAL,@,OAK,W,2-0,CG,33,9.0,0,1,1,2,0,3B
28,May 15,BAL,@,OAK,W,3-2,CG,34,9.0,1,0,0,1,0,3B
29,May 16,BAL,@,SEA,L,3-8,CG,38,8.0,0,3,0,3,0,3B
30,May 17,BAL,@,SEA,L,2-10,CG,44,8.0,1,1,0,2,0,3B
31,May 19,BAL,@,NYY,L,1-9,CG,40,8.0,0,2,0,2,0,3B
32,May 20,BAL,@,NYY,W,6-5,CG,42,9.0,3,1,0,4,1,3B
33,May 21,BAL,@,NYY,W,4-3,CG,51,12.0,0,3,0,3,1,3B
35 (1),May 22 (2),BAL,@,NYY,L,2-8,CG,39,8.0,0,1,0,1,0,3B
36,May 23,BAL,,MIL,W,6-5,CG,43,10.0,2,4,0,6,0,3B
37,May 24,BAL,,MIL,W,2-1,CG,36,9.0,2,2,0,4,0,3B
39 (1),May 25 (2),BAL,,KCR,W,7-2,CG,38,9.0,0,1,0,1,0,3B
40,May 27,BAL,,MIN,W,6-0,CG,35,9.0,0,4,0,4,1,3B
41,May 28,BAL,,MIN,W,3-1,CG,34,9.0,1,0,0,1,0,3B
42,May 29,BAL,,MIN,L,2-3,CG,34,9.0,0,1,0,1,0,3B
43,May 30,BAL,@,MIN,W,9-7,GS,4,1.0,0,1,0,1,0,3B
50 (6),Jun 5,BAL,@,KCR,L,3-4,GF,5,1.0,1,0,0,1,0,3B
51,Jun 6,BAL,@,MIL,W,5-2,CG,33,9.0,1,3,0,4,0,3B
