95,138 (137),Sep 8,SFG,,SDP,W,6-5,GS-8,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500,7,1.33,0.226,0.16,C
96,139,Sep 9,SFG,,HOU,L,4-6,GS-9,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.143,.143,.286,7,.82,-0.059,-0.48,C
97,141 (1),Sep 11,SFG,@,LAD,W,7-3,GS-8,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.273,.545,7,.57,0.067,1.17,C
98,143 (1),Sep 13,SFG,@,LAD,W,7-3,GS-6,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.308,.250,.558,7,1.39,0.011,0.15,C
99,145 (1),Sep 15,SFG,@,HOU,L,6-9,CG(11),5,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.267,.389,.267,.656,7,1.19,0.063,0.25,C
100,147 (1),Sep 18,SFG,,LAD,L,4-11,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.211,.318,.211,.529,7,.59,-0.019,-0.28,C
101,148,Sep 19,SFG,,LAD,W,3-0,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.217,.308,.217,.525,7,.66,-0.051,-1.35,C
102,149,Sep 20,SFG,,LAD,W,3-2,GS-8,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.200,.310,.200,.510,7,1.59,-0.037,-0.28,C
103,151 (1),Sep 22,SFG,@,SDP,L,1-2,CG,3,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.222,.344,.259,.603,7,.67,0.078,0.63,C
104,154 (2),Sep 25,SFG,,CIN,L,2-4,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.314,.233,.548,7,.92,-0.066,-0.48,C
105,156 (1),Sep 27,SFG,,CIN,L,2-3,8-8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.200,.333,.233,.567,3,3.99,0.121,0.65,C
106,158 (1),Sep 30,SFG,@,ATL,W,1-0,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.308,.212,.520,7,1.11,-0.057,-0.63,C
107,159,Oct 1,SFG,@,ATL,L,5-6,CG(10),4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.162,.279,.189,.468,8,1.68,-0.130,-0.84,C
108,160,Oct 2,SFG,@,CIN,W,4-1,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.171,.277,.195,.472,8,.42,0.023,-0.48,C
109,161,Oct 3,SFG,@,CIN,L,1-6,CG,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.163,.280,.186,.466,8,.53,-0.013,-0.18,C
