135 (134),Sep 3,PHI,@,CIN,W,4-2,,3,1.0,0,0,0,0,0,P
136,Sep 4,PHI,@,CIN,L,1-2,GF,2,0.1,0,0,0,0,0,P
140 (3),Sep 9 (2),PHI,,COL,W,7-4,,3,1.0,0,0,0,0,0,P
141,Sep 10,PHI,,MIA,W,3-1,,3,0.2,0,0,0,0,0,P
145 (3),Sep 14,PHI,@,HOU,W,12-6,,5,1.0,0,1,1,2,0,P
147 (1),Sep 16,PHI,@,HOU,L,6-7,GF,6,1.2,0,0,0,0,0,P
149 (1),Sep 19,PHI,@,NYM,W,3-2,,1,0.1,0,0,0,0,0,P
152 (2),Sep 22,PHI,,ATL,L,2-8,,5,1.0,0,1,0,1,0,P
154 (1),Sep 25,PHI,,WSN,W,6-3,,2,0.2,0,0,0,0,0,P
155,Sep 26,PHI,,WSN,L,4-8,,5,0.2,0,0,0,0,0,P
158 (2),Sep 29,PHI,@,MIA,W,9-5,,2,0.2,0,0,0,0,0,P
160 (1),Oct 1,PHI,@,WSN,W,2-0,,4,0.2,0,0,0,0,0,P
162 (1),Oct 3,PHI,@,WSN,L,1-5,,3,1.0,0,0,0,0,0,P
