1,Apr 14,PHI,@,BSN,L,5-9,CG,0,8.0,3,0,0,3,0,
2,Apr 16,PHI,@,BSN,L,0-2,CG,0,8.0,1,0,0,1,0,
3,Apr 17,PHI,@,NYG,L,1-4,CG,0,8.0,3,0,0,3,0,
16 (12),May 8,PHI,@,BRO,W,8-2,,0, ,0,0,1,1,0,
35 (18),Jun 3,PHI,@,CHC,L,3-4,GF,0, ,0,0,0,0,0,
36,Jun 5,PHI,@,CHC,L,0-2,CG,0,8.0,1,0,0,1,0,
41 (4),Jun 11,PHI,@,STL,W,4-0,CG,0,9.0,4,0,0,4,0,
42,Jun 12,PHI,@,STL,W,3-2,CG,0,9.0,4,0,0,4,0,
43,Jun 13,PHI,@,STL,W,10-4,CG,0,9.0,1,0,0,1,0,
44,Jun 14,PHI,@,STL,W,7-1,CG,0,9.0,2,0,0,2,0,
45,Jun 16,PHI,@,CIN,W,7-1,CG,0,9.0,1,0,0,1,0,
46,Jun 18,PHI,@,CIN,L,1-4,CG,0,8.0,3,0,0,3,0,
47,Jun 19,PHI,@,CIN,W,2-0,CG,0,9.0,1,0,0,1,0,
48,Jun 20,PHI,@,CIN,W,4-3,CG,0,15.0,3,0,0,3,0,
49,Jun 21,PHI,@,PIT,L,3-5,CG,0,8.0,2,0,0,2,0,
50,Jun 23 (1),PHI,@,BRO,L,0-2,CG,0,8.0,1,0,0,1,0,
51,Jun 23 (2),PHI,@,BRO,L,1-5,CG,0,8.0,2,0,0,2,0,
52,Jun 24,PHI,@,BRO,L,3-6,CG,0,8.0,0,1,0,1,0,
53,Jun 25,PHI,@,BSN,W,6-0,CG,0,9.0,5,1,0,6,0,
54,Jun 26 (1),PHI,@,BSN,L,3-6,CG,0,8.0,2,1,0,3,0,
55,Jun 26 (2),PHI,@,BSN,L,3-7,CG,0,8.0,0,0,0,0,0,
56,Jun 28,PHI,@,BSN,W,5-3,CG,0,9.0,1,0,0,1,0,
57,Jun 29,PHI,,BSN,W,4-3,CG,0,9.0,4,0,0,4,0,
58,Jun 30,PHI,,BSN,L,0-1,CG,0,9.0,0,0,0,0,0,
59,Jul 2 (1),PHI,,BSN,W,5-4,CG,0,11.0,1,0,0,1,0,
60,Jul 2 (2),PHI,,BSN,L,0-3,CG,0,9.0,0,0,0,0,0,
61,Jul 3 (1),PHI,,BSN,W,7-6,GS,0, ,1,1,0,2,0,
110 (48),Aug 24,PHI,,CHC,L,0-1,CG,0,9.0,1,0,0,1,0,
112 (1),Aug 26,PHI,,CHC,W,8-7,GF,0, ,4,0,0,4,0,
119 (6),Sep 1 (2),PHI,,CIN,L,4-9,GF,0, ,0,0,0,0,0,
120,Sep 2 (1),PHI,,CIN,L,3-9,CG,0,9.0,1,0,0,1,0,
121,Sep 2 (2),PHI,,CIN,W,5-3,CG,0,9.0,1,0,0,1,0,
122,Sep 3 (1),PHI,,CIN,L,0-3,CG,0,9.0,2,1,0,3,0,
123,Sep 3 (2),PHI,,CIN,W,6-5,CG,0,13.0,4,0,0,4,0,
124,Sep 4,PHI,,BRO,L,4-8,CG,0,9.0,1,0,0,1,0,
125,Sep 6 (1),PHI,@,BRO,W,3-1,CG,0,9.0,1,0,0,1,0,
126,Sep 6 (2),PHI,@,BRO,L,2-6,CG,0,8.0,1,0,1,2,0,
127,Sep 7,PHI,@,BRO,W,7-2,CG,0,9.0,1,0,0,1,0,
128,Sep 8 (1),PHI,@,BSN,W,6-2,CG,0,9.0,0,0,0,0,0,
129,Sep 8 (2),PHI,@,BSN,W,5-3,CG,0,9.0,3,0,0,3,0,
130,Sep 9,PHI,@,BSN,W,3-0,CG,0,9.0,2,0,0,2,0,
131,Sep 11 (1),PHI,@,BSN,L,2-3,CG,0,8.0,4,0,0,4,0,
132,Sep 11 (2),PHI,@,BSN,L,0-1,CG,0,8.0,2,0,0,2,0,
133,Sep 13,PHI,,BRO,W,7-0,CG,0,9.0,2,0,0,2,0,
134,Sep 14,PHI,,BRO,L,0-1,CG,0,9.0,3,0,0,3,0,
135,Sep 15,PHI,,BRO,W,2-0,CG,0,9.0,1,0,0,1,0,
