244,1,Apr 15,NYY,@,BOS,W,3-0,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,6,,,,PR LF
245,3 (1),Apr 17,NYY,@,BOS,W,3-1,9-GF,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,6,.45,0.011,0.24,PR LF
246,4,Apr 18,NYY,,BAL,W,3-1,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,7,,,,LF
247,5,Apr 19,NYY,,BAL,W,4-3,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.333,.500,.333,.833,7,.40,0.013,0.17,LF
248,7 (1),Apr 21,NYY,,BOS,W,4-1,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.500,.333,.833,6,,,,LF
249,8,Apr 22,NYY,,BOS,W,12-7,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.500,.333,.833,6,,,,LF
250,9,Apr 23,NYY,@,WSH,L,4-5,8-GF(10),1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.400,.250,.650,7,.31,-0.008,-0.09,LF
251,10,Apr 25,NYY,@,BAL,L,1-2,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.400,.250,.650,6,,,,LF
252,11,Apr 26,NYY,@,BAL,W,2-0,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.400,.250,.650,2,,,,LF
253,12,Apr 29,NYY,,DET,W,5-1,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.400,.250,.650,3,,,,CF
254,17 (4),May 11 (1),NYY,,WSH,W,4-3,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.400,.250,.650,1,,,,LF
255,20 (2),May 14,NYY,,BAL,W,1-0,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.200,.333,.200,.533,6,1.02,-0.067,-0.99,PR LF
