15 (14),Apr 30,WSH,@,DET,L,7-11,CG,40,7.2,1,0,0,1,0,RF
16,May 1,WSH,@,KCA,L,10-16,CG,52,8.0,3,0,1,4,0,RF
17,May 2,WSH,@,KCA,W,12-1,CG,39,9.0,2,0,0,2,0,RF
18,May 3,WSH,@,CHW,L,3-5,CG,36,8.0,2,0,0,2,0,RF
19,May 4,WSH,@,CHW,W,5-4,GS,27,7.0,1,0,0,1,0,RF
24 (4),May 10,WSH,,DET,W,7-4,CG,38,9.0,1,0,0,1,0,LF
25,May 11,WSH,,DET,L,0-7,CG,40,9.0,1,0,0,1,0,RF
31 (5),May 20,WSH,,BOS,W,3-1,CG,34,9.0,0,1,1,2,0,3B
32,May 21,WSH,,BOS,W,1-0,GF,44,11.0,0,3,0,3,0,3B
33,May 24,WSH,@,NYY,W,3-2,CG,36,9.0,2,3,0,5,0,3B
34,May 25,WSH,@,NYY,L,2-6,CG,37,8.0,0,0,0,0,0,3B
35,May 26 (1),WSH,@,NYY,L,4-8,CG,38,8.0,1,3,0,4,0,3B
36,May 26 (2),WSH,@,NYY,L,3-7,GS,15,2.0,1,1,0,2,0,3B
37,May 27,WSH,@,BOS,L,0-16,GS,37,6.0,0,2,0,2,0,3B
38,May 28,WSH,@,BOS,W,5-3,CG,46,9.0,0,2,0,2,1,3B
39,May 29,WSH,@,BOS,L,7-12,CG,42,8.0,0,1,0,1,0,3B
40,May 30 (1),WSH,,NYY,W,3-2,CG,36,10.0,0,3,0,3,0,3B
41,May 30 (2),WSH,,NYY,L,3-5,CG,42,9.0,0,2,1,3,0,3B
43 (1),Jun 2,WSH,@,DET,L,3-4,CG,36,8.0,0,0,0,0,0,3B
44,Jun 3,WSH,@,CLE,W,3-1,CG,33,9.0,0,1,0,1,1,3B
48 (3),Jun 7 (1),WSH,@,KCA,W,3-2,GF,3,1.0,0,1,0,1,0,3B
49,Jun 7 (2),WSH,@,KCA,W,7-3,CG,45,9.0,1,3,0,4,1,3B
60 (10),Jun 18,WSH,,KCA,L,4-9,GF,6,1.0,1,0,0,1,0,PH 2B
64 (3),Jun 24,WSH,,DET,L,7-18,GS,33,5.0,2,0,0,2,0,LF
73 (8),Jul 2,WSH,@,NYY,L,0-12,CG,46,8.0,1,2,1,4,1,3B
74,Jul 3,WSH,@,NYY,W,5-0,GS,25,7.0,3,4,0,7,1,3B
75,Jul 4,WSH,@,BAL,L,2-6,GF,11,2.0,0,1,0,1,0,PH 3B
78 (2),Jul 8,WSH,,NYY,L,0-3,CG,26,6.0,0,3,0,3,0,3B
79,Jul 9,WSH,,NYY,L,0-4,CG,42,9.0,0,2,0,2,0,3B
80,Jul 10 (1),WSH,,NYY,W,6-4,CG,37,9.0,0,3,0,3,1,3B
81,Jul 10 (2),WSH,,NYY,L,3-8,CG,45,9.0,1,1,0,2,0,3B
82,Jul 14 (1),WSH,@,CHW,L,4-13,CG,42,8.0,1,2,2,5,0,3B
83,Jul 14 (2),WSH,@,CHW,L,2-5,CG,36,8.0,0,2,0,2,0,3B
