1,3 (2),Apr 17,BOS,@,WSH,W,9-2,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
2,4,Apr 18,BOS,,PHA,W,5-4,5-5,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
3,7 (2),Apr 20,BOS,,WSH,W,6-3,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
4,11 (3),Apr 24,BOS,,NYY,W,3-2,11-GF(11),1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.000,.000,.000,9,2.92,-0.070,-0.29,P
5,12,Apr 30,BOS,,DET,W,5-3,7-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.000,.000,.000,.000,9,.41,-0.021,-0.80,P
6,16 (3),May 4,BOS,,CLE,L,6-9,7-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
7,17,May 5,BOS,,CLE,L,2-4,10-10,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
8,20 (2),May 8,BOS,,CHW,L,2-4,8-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
9,22 (1),May 10,BOS,@,NYY,L,3-18,6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,8,,,,P
10,24 (1),May 13,BOS,@,CHW,L,0-5,1-7,2,1,0,0,0,0,0,0,0,0,1,0,1,,0,0,0,0,.000,.000,.000,.000,9,1.29,-0.041,-0.34,P
11,31 (6),May 21,BOS,@,CLE,L,1-5,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
12,35 (3),May 27,BOS,,PHA,L,3-7,9-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
13,38 (2),May 30 (2),BOS,,WSH,W,5-3,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.000,.000,.000,9,.22,-0.005,-0.47,P
14,39,May 31,BOS,,CHW,L,3-7,6-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
15,45 (5),Jun 6,BOS,,DET,L,2-4,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
16,46,Jun 7,BOS,,DET,W,11-9,5-5,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
17,49 (2),Jun 9,BOS,,DET,W,9-8,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
18,50,Jun 10,BOS,,SLB,L,4-7,GS-5,1,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,.000,.200,.000,.200,9,1.77,0.069,0.61,P
19,52 (1),Jun 12,BOS,,SLB,W,7-5,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.200,.000,.200,9,,,,P
20,55 (2),Jun 15 (2),BOS,@,CHW,W,3-2,8-9,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.167,.000,.167,9,.27,-0.007,-0.22,P
21,58 (2),Jun 19,BOS,@,SLB,W,2-0,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,.000,.200,.000,.200,9,.72,-0.019,-0.53,P
22,63 (4),Jun 23,BOS,@,DET,W,12-6,GS-9,4,2,1,0,0,0,0,0,2,0,0,0,0,,0,2,0,0,.000,.286,.000,.286,9,.61,0.085,-0.33,P
23,67 (3),Jun 28,BOS,,WSH,L,1-5,GS-6,2,2,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.000,.250,.000,.250,9,.63,-0.035,-0.33,P
24,71 (3),Jul 3,BOS,@,PHA,L,3-4,GS-4,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.235,.000,.235,9,.46,-0.012,-0.10,P
25,90 (18),Jul 24,BOS,@,CHW,L,0-3,8-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.235,.000,.235,9,,,,P
26,92 (1),Jul 26,BOS,@,SLB,L,2-7,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.235,.000,.235,9,,,,P
27,97 (4),Jul 31,BOS,@,CLE,L,2-8,3-5,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,.000,.222,.000,.222,6,2.02,-0.096,-0.71,P
28,101 (3),Aug 5,BOS,@,PHA,L,3-5,7-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.222,.000,.222,9,,,,P
29,102,Aug 7 (1),BOS,@,PHA,L,5-7,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.222,.000,.222,9,,,,P
30,117 (14),Aug 22,BOS,,CHW,L,1-4,GS-8,2,2,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.000,.200,.000,.200,9,.74,-0.037,-0.34,P
31,125 (7),Aug 29 (2),BOS,@,PHA,L,5-7,GS-8,4,2,0,0,0,0,0,0,2,0,1,0,0,,0,0,0,0,.000,.250,.000,.250,9,1.52,-0.061,-0.37,P
32,128 (2),Sep 1,BOS,@,NYY,L,1-5,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.250,.000,.250,9,,,,P
33,131 (2),Sep 3,BOS,@,WSH,L,2-9,5-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.250,.000,.250,9,,,,P
34,137 (5),Sep 9,BOS,@,DET,L,3-4,10-GF(11),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.250,.000,.250,9,,,,P
35,140 (2),Sep 12,BOS,@,CLE,L,0-5,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.250,.000,.250,9,,,,P
36,142 (1),Sep 14,BOS,@,CHW,L,3-4,8-GF(17),4,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.045,.250,.045,.295,8,2.27,-0.098,-0.29,P
37,145 (2),Sep 17,BOS,@,SLB,L,4-10,3-3,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.045,.250,.045,.295,9,,,,P
38,153 (7),Sep 27,BOS,,WSH,L,2-3,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.045,.250,.045,.295,9,,,,P
39,154,Sep 28,BOS,,WSH,L,4-5,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.045,.250,.045,.295,9,,,,P
