125 (124),Aug 29,KCA,@,BOS,L,1-4,CG,36,8.0,0,0,0,0,0,LF
128 (2),Aug 31 (2),KCA,@,NYY,W,6-0,CG,33,9.0,4,0,0,4,0,LF
129,Sep 1,KCA,,CLE,L,3-7,CG,43,9.0,3,0,0,3,0,LF
130,Sep 2,KCA,,CLE,L,2-6,CG,37,9.0,4,0,0,4,0,LF
131,Sep 3,KCA,,CLE,L,5-6,GS,31,7.0,0,0,0,0,0,RF
133 (1),Sep 5,KCA,,CHW,W,8-7,CG,40,9.0,3,0,0,3,0,LF
135 (1),Sep 7,KCA,,WSH,L,3-5,GS,32,7.0,3,0,0,3,0,LF
136,Sep 8,KCA,,WSH,L,0-7,CG,36,9.0,3,0,0,3,0,LF
137,Sep 9,KCA,,BOS,W,3-2,GS,24,6.0,0,0,0,0,0,LF
138,Sep 10,KCA,,BOS,L,4-7,CG,41,9.0,4,0,0,4,0,LF
